raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Срещу Младехки хълм,"НАМАЛЕНА ЦЕНА ДО КРАЯ НА ЯНУАРИ! Само за частни лица! Представяме на вашето внимание стилен двустаен апартамент, разположен в централната част на Пловдив, в квартал Център. Имотът е с обща площ от 112 кв.м и предлага съвременен комфорт, идеален за млади професионалисти или двойки. 

ЖИЛИЩЕ: 
- Апартаментът е напълно обзаведен и готов за нанасяне, с модерен интериор и уютна атмосфера. 
- Състои се от просторна дневна с обособен кухненски бокс, една спалня и баня с тоалетна. 
- Дневната е светла и приветлива, с излаз на тераса, която предлага прекрасна гледка и е идеална за отдих. 
- Имотъ..",215000.0,EUR,False,,двустаен,Пловдив,Център,,Topbroker Plovdiv,,https://www.alo.bg/sreshtu-mladehki-halm-10820939,,2026-01-25 18:03:31.102034,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,112 кв.м,5 етаж,18b75fb29a5e347895ef9519f4c9c93f
Тристаен апартамент до у-ще Петър Берон и 2ро ДКЦ,"Оферта №620723
Агенция за недвижими имоти ”SEVEN HILLS REAL ESTATE Co” предлага на Вашето внимание тристаен обзаведен апартамент, намиращ се на 1 минута пешеходно разстояние от училище ”Петър Берон” и на метри от 2ро ДКЦ. 
Жилището е с обща площ от 106 кв.м., като към него има прилежащи таванско помещение от 8 кв.м., изба 6 кв.м., и партерна стая 10 кв.м., а квадратурата на апартамента е 79.32 кв.м. ЗАСТРОЕНА ПЛОЩ, без общи части и терасите. 
Продава се във видът от снимките, дограмата е сменана в целия апартамент, състои се от две спални, кухня, хол, както и отделни баня и тоалетна. 
Парк..",210000.0,EUR,False,,тристаен,Пловдив,Младежки хълм,,Seven Hills Real Estate Co,,https://www.alo.bg/tristaen-apartament-do-u-shte-petar-beron-i-2ro-dkc-10859170,,2026-01-25 18:03:31.107197,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,106 кв.м,3 етаж,0405975bcf85cdaed77733dd5798fe31
Просторен 3-стаен апартамент в Каменица 2 - ул. „Лев Толстой“,"Агенция TRIVIUM ESTATE представя: 

🏡 Просторен 3-стаен саниран панелен апартамент в Каменица 2 - ул. „Лев Толстой“
Предлагамe голям и светъл апартамент в саниран панелен блок, разположен на 3-ти от 5 етажа в тих и предпочитан район на Пловдив. 🌇

✨ Характеристики: 
📏 Чиста площ: 88,42 кв.м
🛏️ 2 просторни спални
🛋️ Голям хол
🍽️ Отделна кухня
🛁 Баня с тоалетна
🚾 Отделен санитарен възел
🧭 Голям коридор
🌤️ 2 тераси с възможност за усвояване
🗄️ Мазе - 7,96 кв.м
🏢 Състояние и предимства: 
🧱 Санирана сграда
🧹 Добре поддържани общи части
📌 Отлично разпределение - подходящо както за ..",157000.0,EUR,False,,тристаен,Пловдив,Каменица 2,,Trivium Estate,,https://www.alo.bg/prostoren-3-staen-apartament-v-kamenica-2-ul-lev-tolstoi-10726165,,2026-01-25 18:03:31.112340,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,97 кв.м,3 етаж,f028ad4f31dbf10175b48220647e6d8c
Двустаен с двор / Бунарджика,"оф.24538

ИДЕАЛЕН ЗА AIRBNB! ТОП ЛОКАЦИЯ! ДВОР И ПРЕКРАСНА НЕСКРИВАЕМА ГЛЕДКА! Предлагаме Ви да закупите отличен двустаен апартамент, разположен на тиха и спокойна улица в чисто нова модерна сграда с акт 16 в района на Бунарджика. Имотът, който Ви предлагаме да закупите се състои от голям хол с кухненски бокс, просторна спалня, коридор, баня с тоалетна и прекрасна външна тераса 50кв.м. Жилището се продава на шпакловка и замазка, което Ви дава отличната възможност да го обзаведете по Ваш собствен вкус. Поради отличната си локация и специфика имота е отлична инвестиция с цел отдаване на нощувк..",137999.0,EUR,False,,двустаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/dvustaen-s-dvor-bunardjika-10709254,,2026-01-25 18:03:31.117471,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,114 кв.м,1 етаж,ccf3f4a5693fa69eb43022e61998d778
Тристаен с Паркомясто Военна Болница,"оф.22583

ТОП ЛОКАЦИЯ! ПАРКОМЯСТО В ЦЕНАТА! САНИРАН! СРЕДЕН ЕТАЖ! Предлагаме Ви да закупите ЧУДЕСЕН ТРИСТАЕН АПАРТАМЕНТ, разположен в района на Военна болница. Имотът се състои от голям с кухня и трапезария, две просторни спални, баня с тоалетна, входно антре, тераса и прилежащи избено ( 13,40кв.м ) и таванско ( 21,48кв.м ) помещения. Жилището е без съвременни подобрения, което Ви позволява да го отремонтирате и обзаведете по Ваш собствен вкус. С локацията си в най - предпочитаният район за живеене в гр. Пловдив, имотът е чудесен избор за Вашият нов дом и отлична инвестиция с цел отдаване по..",168299.0,EUR,False,,тристаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/tristaen-s-parkomyasto-voenna-bolnica-10149007,,2026-01-25 18:03:31.122672,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,120 кв.м,2 етаж,afa1fd887cc038e831c20814ccc54379
3-стаен до Военна Болница,"оф.24915

ТОП ЛОКАЦИЯ! СРЕДЕН ЕТАЖ! ИЗТОЧНО ИЗЛОЖЕНИЕ! Предлагаме Ви да закупите чудесен тристаен апартамент със следното разпределение: Хол с кухненски бокс, две спални, баня с тоалетна, входно антре, две тераси, прилежащо избено и таванско помещение. Жилището се продава необзаведено и без съвременни подобрения което Ви позволява да го отремонтирате и обзаведете по Ваш собствен вкус. Намира се в близост до детски градини, училища, магазини и удобен градски транспорт. 

Авангард Риъл Естейт предлага Висока сигурност при покупка на имот и цялостно съдействие до финализиране на сделката пред..",112199.0,EUR,False,,тристаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/3-staen-do-voenna-bolnica-10841814,,2026-01-25 18:03:31.127877,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,60 кв.м,2 етаж,e3c88fbb938ac232ed71c88f8e95f91c
Изгоден тристаен с АКТ 16/ Съдийски,"оф.24884

АКТ 16!! ИЗГОДЕН!! ПРЕПОЧИТАНА ЛОКАЦИЯ!! СРЕДЕН ЕТАЖ!! Предлагаме Ви да закупите страхотен тристаен апартамент, състоящ се от просторен хол с кухненски бокс и трапезария, две големи спални, две бани с тоалетни, мокро помещение, две тераси и коридор. Жилището, което Ви предлагаме да закупите е на шпакловка и замазка, което Ви дава пълната възможност да го довършите по ваш собствен вкус. Намира се на спокойна, но и комуникативна локация, в близост до центъра на града, училища, детски градини, автобусни спирки, магазини и др. Има възможност за закупуването на подземни и надземни парко..",149487.0,EUR,False,,тристаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/izgoden-tristaen-s-akt-16-sadiiski-10823920,,2026-01-25 18:03:31.132986,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,115 кв.м,4 етаж,ddd9eeafdd8c34ca5dfdc7b9971867d1
Луксозен тристаен с акт 16/ Съдийски,"оф.24921

ИЗЦЯЛО ОБЗАВЕДЕН ПО ДИЗАЙНЕРСКИ ПРОЕКТ! АКТ 16! БЕЗ АНАЛОГ НА ПАЗАРА! ОБЗАВЕЖДАНЕ С НАЙ-ВИСОК КЛАС МЕБЕЛИ И ЕЛ. УРЕДИ! Предлагаме Ви да закупите страхотен тристаен апартамент без аналог на пазара, състоящ се от ПРОСТОРЕН ХОЛ С КУХНЕНСКИ БОКС И ТРАПЕЗАРИЯ, ДВЕ ГОЛЕМИ СПАЛНИ, БАНЯ С ТОАЛЕТНА, ОТДЕЛНА ТОАЛЕТНА, ПЕРАЛНО ПОМЕЩЕНИЕ, КОРИДОР И ДВЕ ТЕРАСИ. Жилището, което Ви предлагаме да закупите, ще бъде обзаведено по дизайнерски проект, с мебели и ел. уреди от най-висок клас, което ще Ви дава пълната възможност да се нанесете веднага. Имотът е перфектния избор, както за вашия нов и мечт..",244999.0,EUR,False,,тристаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/luksozen-tristaen-s-akt-16-sadiiski-10831537,,2026-01-25 18:03:31.138145,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,115 кв.м,7 етаж,f457bc6706c8918b308308fe3ebd1653
Тристаен! Обзаведен! Център!,"ОФЕРТА 10658
✨ Уникално предложение в център на град Пловдив! ✨
Представяме Ви тристаен апартамент с отделна кухня, разположен в малка сграда с по два апартамента на етаж. 
🏙 Живейте на минути от ключови точки на града - магазини, спирки, училища, заведения и паркове. 🏡 Разпределение: Светъл хол, отделна кухня - практично и уютно пространство, две самостоятелни спални, коридор, баня с тоалетна, две тераси с приятен изглед, и прилежащо избено помещение. 🚗 Възможност да закупите гараж- перфектно допълнение за максимално удобство в централната част на града. 🌟 Защо да го видите? Това е имот с ..",139999.0,EUR,False,,тристаен,Пловдив,Мараша,,АТЛАС НЕДВИЖИМИ ИМОТИ,,https://www.alo.bg/tristaen-obzaveden-centar-10764482,,2026-01-25 18:03:31.143259,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,86 кв.м,5 етаж,87758204e871550f2f63b028e475dd33
тристаен голям ВМИ,"Представяме ви уникален имот-малка нова частна кооперация само на три етажа с асансьор и видео наблюдение. Чиста площ без тераси и с много малки общи части 120 кв.м. и без включени тераси в площта./в най-новите кооперации би било 150 кв.м./
Жилището се състои от огромен хол с трапезария и кухненски бокс над 40 кв.м. вътрешна площ с панорамни прозорци и към него има чудна веранда 10 кв.м. с място за мебел, люлка, малък басейн. Две големи спални с вътрешна площ над 15 кв.м., като към родителската спалня има самостоятелен голям санитарен възел с баня. В коридора има още една баня с тоалетна за г..",395000.0,EUR,False,,тристаен,Пловдив,Център,,МД ИМОТИ ГРУП,,https://www.alo.bg/tristaen-golyam-vmi-10839092,,2026-01-25 18:03:31.148370,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,,,,,120 кв.м,2 етаж,8858f62cda5bbd15eeb5dc902fa5c36f
