raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",175000.0,EUR,False,,двустаен,София,Сухата река,,SUPRIMMO,,https://www.alo.bg/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,,2026-01-25 19:30:02.843104,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,74 кв.м,4 етаж,51cb1d084194971b1a6ba8d2417b6409
Прекрасен многостаен апартамент в София,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",640000.0,EUR,False,,многостаен,София,Редута,,Форт Нокс,,https://www.alo.bg/prekrasen-mnogostaen-apartament-v-sofiya-10850889,,2026-01-25 19:30:02.848153,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,220 кв.м,6 етаж,2ef0e1355d3bded2a8b1cc0df89256ba
Двустаен апартамент кв. Дървеница АКТ16,"”Имотен център” предлага за продажба просторен двустаен апартамент в затворен к-с с АКТ 16. 

Комплексът е от затворен тип с 24 часа физическа охрана, видеонаблюдение и контролиран достъп. 
Разполо..",152000.0,EUR,False,,двустаен,София,Дървеница,,Имотен Център,,https://www.alo.bg/dvustaen-apartament-kv-darvenica-akt16-10868377,,2026-01-25 19:30:02.852284,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,73 кв.м,3 етаж,b0b851341ea8421f76e64235476f562a
Двустаен апартамент с отделна кухня,Агенция за недвижими имоти ви представя за продажба двустаен непреходен апартамент с отделна кухня с 2 остъклени балкона в ж.к. Мусагеница. Жилището се намира в изцяло саниран блок по европейска прогр..,191000.0,EUR,False,,двустаен,София,Дървеница,,Madjestic Real Estate,,https://www.alo.bg/dvustaen-apartament-s-otdelna-kuhnya-10844493,,2026-01-25 19:30:02.856307,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,71 кв.м,,548dcacf9cd477d6eb93fc36fdf1f74b
Тристаен апартамент до хотел Плиска в ж.к. Изток,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",399990.0,EUR,False,,тристаен,София,Изток,,Galeria Homes - Real Estate,,https://www.alo.bg/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,,2026-01-25 19:30:02.860410,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,96 кв.м,5 етаж,129ff10fe7bfeeea64987e90b23dbd00
Тристаен апартамент 91 кв.м ЕПК/ПК 1985 г. 14 етаж Непоследен,"Номер в агенцията - 54665. Агенция Абела предлага за продажба изключително просторен и светъл тристаен апартамент. Локацията е една от най-предпочитаните в района, непосредствено до метростанция Хаджи..",205000.0,EUR,False,,тристаен,София,Сухата река,,Abella LLC,,https://www.alo.bg/tristaen-apartament-91-kv-m-epk-pk-1985-g-14-etaj-neposleden-10742934,,2026-01-25 19:30:02.864605,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,91 кв.м,14 етаж,c3b52d335b2c15cd7edc97e246f098c5
Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези,"Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези, на ул. Хайдушка гора 35, разположен на пети жилищен етаж. Жилището включва антре с коридор, дневна с кухненски бокс, три спални, д..",249900.0,EUR,False,,многостаен,София,Белите брези,,Диана Трайкова,,https://www.alo.bg/prodavam-prekrasen-4-staen-apartament-v-nova-sgrada-v-kv-beli-brezi-10842342,,2026-01-25 19:30:02.868538,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,78 кв.м,5 етаж,a09c08a2a01e64771684ca410d49bb41
"Нов ексклузивен жилищен проект в София - Corner Park, кв. Сухата река","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 87778
Отговорен брокер: Иван Каменов

Представяме в..",98538.0,EUR,False,,двустаен,София,Сухата река,,BULGARIAN PROPERTIES,,https://www.alo.bg/nov-ekskluziven-jilishten-proekt-v-sofiya-corner-park-kv-suhata-reka-10707720,,2026-01-25 19:30:02.872670,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,44.79 кв.м,,5774d313551633ba67ca4b4e8cc538f7
Продава апартамент на бул. Прага,"ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ - Тристаен апартамент на бул. Прага, Център
Цена: 301 000 EUR
Площ: 70 кв.м | Етаж 4 | Монолитна тухлена сграда 
Представяме Ви изключително функционален тристаен апартамент..",301000.0,EUR,False,,тристаен,София,Медицинска академия,,Агенция за недвижими имоти ДОМИНУМ,,https://www.alo.bg/prodava-apartament-na-bul-praga-10826211,,2026-01-25 19:30:02.876780,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,70 кв.м,4 етаж,322654b45c1d818d0f90d2ce00ccc1d3
"3-стаен, София, Гоце Делчев, 67 кв.м., 203000 €","Предлагаме за продажба тристаен панелен апартамент в един от най-търсените райони на София - кв. Гоце Делчев, в блок 237, с отлично разположение между бул. „Гоце Делчев“, бул. „България“ и близост до ..",203000.0,EUR,False,,тристаен,София,Гоце Делчев,,Адрес недвижими имоти,,https://www.alo.bg/3-staen-sofiya-goce-delchev-67-kv-m-203000-10773550,,2026-01-25 19:30:02.880688,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,,,,,67 кв.м,3 етаж,68d508d240a30081f389b2986f4cda61
