raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
"Двустаен, 68m²",ТЕЦ,320000.0,EUR,False,наем,двустаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-68m2-sofiya-oborishte/as1645471,10,2026-01-24 18:36:25.618574,,homesbg,,1645471,днес,,,,069c87db8828c5d9af8f537c7a56b2e8
"Тристаен, 100m²","Тухла, ТЕЦ",425000.0,EUR,False,наем,тристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-100m2-sofiya-oborishte/as1663075,1,2026-01-24 18:36:25.618585,,homesbg,,1663075,днес,,,,c5f5880db6e496827ae315d7f6d510d0
"Тристаен, 138m²",Тухла,430200.0,EUR,False,наем,тристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-138m2-sofiya-oborishte/as1616667,4,2026-01-24 18:36:25.618595,,homesbg,,1616667,днес,,,,5df6015b522686b4f6988cb12233ebe4
"Четиристаен, 196m²",Тухла,620235.0,EUR,False,наем,четиристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-196m2-sofiya-oborishte/as1614433,3,2026-01-24 18:36:25.618599,,homesbg,,1614433,днес,,,,70b03173f3ca6beed10f87badcc492b6
"Четиристаен, 195m²",Тухла,595840.0,EUR,False,наем,четиристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-195m2-sofiya-oborishte/as1614434,3,2026-01-24 18:36:25.618606,,homesbg,,1614434,днес,,,,c61e46ced9daed0128c77a2053fb5fce
"Четиристаен, 194m²",Тухла,576790.0,EUR,False,наем,четиристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-194m2-sofiya-oborishte/as1614435,4,2026-01-24 18:36:25.618611,,homesbg,,1614435,днес,,,,f279fd648a593be7c8aabfa17e5a4767
"Четиристаен, 191m²",Тухла,544290.0,EUR,False,наем,четиристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-191m2-sofiya-oborishte/as1614436,4,2026-01-24 18:36:25.618617,,homesbg,,1614436,днес,,,,ca22de6c2dab372a50a4067fd5aa6c34
"Тристаен, 148m²",Тухла,485900.0,EUR,False,наем,тристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-148m2-sofiya-oborishte/as1614439,6,2026-01-24 18:36:25.618626,,homesbg,,1614439,днес,,,,1031a363c671830fdd93b991fecfd9ea
"Двустаен, 65m²","Тухла, ТЕЦ",265000.0,EUR,False,наем,двустаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-65m2-sofiya-oborishte/as1652163,9,2026-01-24 18:36:25.618630,,homesbg,,1652163,днес,,,,a1bad526d331ab70b5be966ef73f1278
"Тристаен, 118m²","Тухла, Електричество",460000.0,EUR,False,наем,тристаен,София,Оборище,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-118m2-sofiya-oborishte/as1652132,2,2026-01-24 18:36:25.618634,,homesbg,,1652132,днес,,,,66b196fad1660a35fb740afd99384624
