raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 2.002 дка, ЕКСКЛУЗИВ-Предлагаме, за продажба зем. Земя, с. Дюлино. Земята е, с площ 2дка.Имота граничи, с къщит ..., тел.: 0876716939",358211.0,EUR,False,продава,земя,Варна,Област Варна,0876716939,СЕВЕРОИЗТОЧНИ ИМОТИ АТИЛА 2021,https://seviztatila.imot.bg,https://www.imot.bg/obiava-1s171865551800073-prodava-zemedelska-zemya-oblast-varna-s-dyulino,8.0,2026-01-24 18:05:03.105889,,imotbg,,,,,,,8395c311ff01dbef401fc18ace914230
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813",6033244.0,EUR,False,продава,земя,Тервел,Област Добрич,0888717813,АДРЕС НЕДВИЖИМИ ИМОТИ - ДОБРИЧ,https://address_dobrich.imot.bg,https://www.imot.bg/obiava-1s175636549416627-prodava-zemedelska-zemya-oblast-dobrich-gr-tervel-voynikovo,,2026-01-24 18:05:03.106762,,imotbg,,,,,,,2e527322d532bdadbd0794e19bcb30ed
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 55 дка, Продава 55 дка. земеделска земя цял парцел в землището на с. Ваклино , общ.Шабла подходяща за обрабо ..., тел.: 0888908877",90035.0,EUR,False,продава,земя,Ваклино,Област Добрич,0888908877,ЛОТОС,https://lotosreal.imot.bg,https://www.imot.bg/obiava-1s176225138531247-prodava-zemedelska-zemya-oblast-dobrich-s-vaklino,,2026-01-24 18:05:03.107625,,imotbg,,,,,,,59bb275a2bbcbc59b8273670fd0019b0
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182",0.0,,False,продава,земя,Панагюрище,Област Пазарджик,0899193182,ВАРИАНТ,https://variant_pan.imot.bg,https://www.imot.bg/obiava-1s176915078816962-prodava-zemedelska-zemya-oblast-pazardzhik-gr-panagyurishte-m-radulitsa,,2026-01-24 18:05:03.108489,,imotbg,,,,,,,a778f0b867aa7aeaf93e33200163966e
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861",283500.0,EUR,False,продава,земя,Пловдив,Област Пловдив,0896748861,ТРИВИУМ ЕСТЕЙТ,https://trivium.imot.bg,https://www.imot.bg/obiava-1s176882482692772-prodava-zemedelska-zemya-oblast-plovdiv-gr-plovdiv,,2026-01-24 18:05:03.109332,,imotbg,,,,,,,5e615e8cc4d047b01ba812c4f120519d
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 4.5 дка, Кръговото за Пловдив, Продавам земя 4500кв.м. на втора линия преди с.Крумово  Продавам земя/поземлен имот с площ от 4500кв ..., тел.: 0892970864",104000.0,EUR,False,продава,земя,Пловдив,Област Пловдив,0892970864,НЕУМОРНАТА ИМПЕРИЯ,https://neumornata.imot.bg,https://www.imot.bg/obiava-1s176825963966493-prodava-zemedelska-zemya-oblast-plovdiv-s-kurtovo-kragovoto-za-plovdiv,9.0,2026-01-24 18:05:03.110369,,imotbg,,,,,,,7df8416f4f9a0a17e3b140bed6a88c8b
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 20 дка, Горен Вакъв, Агенция  Панорама  представя на Вашето внимание изгоден парцел   нива в местността Горен Вакъв, с. Я ..., тел.: 0885668383",260000.0,EUR,False,продава,земя,Пловдив,Област Пловдив,0885668383,ПАНОРАМА,https://panorama.imot.bg,https://www.imot.bg/obiava-1s176693849299371-prodava-zemedelska-zemya-oblast-plovdiv-s-yagodovo-goren-vakav,,2026-01-24 18:05:03.111215,,imotbg,,,,,,,c4e0c5103a1fb121375e37e4901c170e
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Гори и храсти в земеделска земя, кат. 1, 197 дка, Гората се намира в село Видраре, община Правец. От общо 197 дка 147 дка са съседни и граничат с водн ..., тел.: 0888-966696",56145.0,EUR,False,продава,земя,София,Област София,0888-966696,АРИСТО ЕООД,https://aristo.imot.bg,https://www.imot.bg/obiava-1s151284042727607-prodava-zemedelska-zemya-oblast-sofiya-s-vidrare,,2026-01-24 18:05:03.112064,,imotbg,,,,,,,af9b80c916a5bbb604818eac01c63384
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180",144000.0,EUR,False,продава,земя,Стара Загора,Зора,0886426180,ЯВЛЕНА - СТАРА ЗАГОРА,https://yavlena_sz.imot.bg,https://www.imot.bg/obiava-1s156655360699782-prodava-zemedelska-zemya-grad-stara-zagora-zora,2.0,2026-01-24 18:05:03.112888,,imotbg,,,,,,,984e20460fcca016c65be828d82f6035
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 1, 2 дка, www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ..., тел.: 0899564900",52500.0,EUR,False,продава,земя,Банско,Област Благоевград,0899564900,УНИКАЛНИ ИМОТИ БАНСКО,https://unikalniimoti.imot.bg,https://www.imot.bg/obiava-1s176278014476293-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,2.0,2026-01-24 18:05:03.113827,,imotbg,,,,,,,f4bccbffc08a9db27bb83788806557e9
