raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Тристаен апартамент,,1200.0,EUR,False,наем,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137362-eleganten-tristaen-apartament-pod-naem-v-prestijniya-kompleks-royal-garden/,3,2026-01-23 22:19:38.736936,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-137362,,,105,5,1b055eac49cd79383326d75e95e51936
Двустаен апартамент,,750.0,EUR,False,продава,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137300-uyuten-i-stilen-dvustaen-apartament-v-tsentralnata-chast-na-plovdiv/,3,2026-01-23 22:19:38.737878,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-137300,,,65,3,43ce18ec56927e16324cfe36d17345a2
Тристаен апартамент,,850.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137101-stilen-tristaen-apartament-s-dvoen-garaj-v-nova-sgrada-v-plovdiv/,3,2026-01-23 22:19:38.738781,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-137101,,,115,4,5956cefd7ffa284d8972203d6bcbf42f
Двустаен апартамент,,650.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-127692-moderen-dvustaen-apartament-s-parkomyasto-v-nova-sgrada-v-kv-hristo-smirnenski/,3,2026-01-23 22:19:38.739811,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-127692,,,75,3,9c65903741258fa60cc8a7b2b325a035
Тристаен апартамент,,770.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-136831-moderen-tristaen-apartament-do-novotel-plovdiv/,3,2026-01-23 22:19:38.740883,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-136831,,,120,4,458d626da4730e8e30d3f827a32f5480
Двустаен апартамент,,700.0,EUR,False,продава,двустаен,Пловдив,Отдих и Култура,,Suprimmo,,https://www.suprimmo.bg/imot-136801-dvustaen-apartament-v-prestijen-jilishten-kompleks-royal-garden-2/,3,2026-01-23 22:19:38.741857,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-136801,,,72,2,1641632f3f8e091e19227e745b51c217
Двустаен апартамент,,650.0,EUR,False,наем,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-136724-luksozen-dvustaen-apartament-pod-naem-v-sartseto-na-gr-plovdiv/,3,2026-01-23 22:19:38.742833,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-136724,,,67,2,2b580d4782b9de88e6d539c21ecbaa3e
Тристаен апартамент,,715.0,EUR,False,продава,тристаен,Пловдив,Каменица 2,,Suprimmo,,https://www.suprimmo.bg/imot-122126-nov-stilen-tristaen-apartament-v-zatvoren-kompleks-do-mall-plaza-v-plovdiv/,3,2026-01-23 22:19:38.743917,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-122126,,,95,8,a73fd82c1bb860de106e2790956e86ba
Тристаен апартамент,,570.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125270-otlichen-tristaen-apartament-v-nova-sgrada-do-tsentara-na-grad-plovdiv/,3,2026-01-23 22:19:38.744951,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-125270,,,127,3,1be02d088fe70a44876e41c3446e7ca6
Двустаен апартамент,,780.0,EUR,False,продава,двустаен,Пловдив,Каменица 1,,Suprimmo,,https://www.suprimmo.bg/imot-118814-nov-dizaynerski-apartament-v-moderen-kompleks-v-tsentara-na-plovdiv/,3,2026-01-23 22:19:38.746002,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,,PLV-118814,,,83.68,5,a1c60e8af69fdd27c95bad90d5e33132
