raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Тристаен апартамент,,1600.0,EUR,False,продава,тристаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-131731-iziskan-i-moderen-tristaen-apartament-v-luksozna-sgrada-pulse-tower/,3,2026-01-23 22:18:18.596608,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-131731,,,122,4,926b3ced8f948f826007a6bd5116b86b
Тристаен апартамент,,10000.0,EUR,False,продава,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-104721-panoramen-tristaen-apartament-v-prestijnata-sgrada-milenium-tsentar/,3,2026-01-23 22:18:18.597611,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-104721,,,260,21,653c3bbcf0e8e459ee7845f9968739e6
Двустаен апартамент,,450.0,EUR,False,продава,двустаен,София,Хиподрума,,Suprimmo,,https://www.suprimmo.bg/imot-36493-napalno-obzaveden-dvustaen-apartament-v-kv-hipodruma/,3,2026-01-23 22:18:18.598540,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Kbs 36493,,,54.31,3,29d399a73cfec1a5d04c94fbe6cbed29
Четиристаен апартамент,,1800.0,EUR,False,продава,четиристаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-63398-svetal-apartament-s-podzemno-parkomyasto-v-polite-na-vitosha/,3,2026-01-23 22:18:18.599496,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-63398,,,160,4,20e251d6df9f70f839d96204127ca7d3
Тристаен апартамент,,1650.0,EUR,False,продава,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-133548-tristaen-apartament-s-parkomyasto-do-metrostantsiya-sv-patriarh-evtimiy/,3,2026-01-23 22:18:18.600455,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-133548,,,156,5,3fd9fb971bcc7c5c5ba776167d9912fc
Двустаен апартамент,,2000.0,EUR,False,наем,двустаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-95307-dizaynerski-apartament-pod-naem-na-2-niva-s-garaj-v-zatvoren-kompleks-do-bulbalgariya/,3,2026-01-23 22:18:18.601411,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF 95307,,,182.13,1,1fe66b2330742d13baa4e7c2fa66cbe5
Тристаен апартамент,,1400.0,EUR,False,наем,тристаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-125367-stilen-tristaen-apartament-pod-naem-v-predpochitan-kompleks-v-kv-manastirski-livadi/,3,2026-01-23 22:18:18.602389,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Kbs 125367,,,114.13,3,ce1d191879f2c1b96b030a51a9606ab6
Четиристаен апартамент,,1500.0,EUR,False,продава,четиристаен,София,Изток,,Suprimmo,,https://www.suprimmo.bg/imot-130536-chetiristaen-apartament-etaj-ot-kashta-v-kviztok-s-hubava-terasa-i-garaj/,3,2026-01-23 22:18:18.603349,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF 130536,,,130,1,136731e42a1aef462e8e762cd9f8520d
Двустаен апартамент,,1023.0,EUR,False,наем,двустаен,София,Бояна,,Suprimmo,,https://www.suprimmo.bg/imot-106259-prostoren-stilno-obzaveden-dvustaen-apartament-pod-naem-s-vklyucheno-parkomyasto/,3,2026-01-23 22:18:18.604321,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Kbs 106259,,,108,2,da574f79d7920e762a173e19ce96190f
Тристаен апартамент,,1900.0,EUR,False,наем,тристаен,София,Дианабад,,Suprimmo,,https://www.suprimmo.bg/imot-113455-vazhititelen-dizaynerski-apartament-s-otlichna-lokatsiya-pod-naem-v-kv-dianabad/,3,2026-01-23 22:18:18.605373,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Kbs 113455,,,122,11,3e2b52ea55cf568c523e45c184f4d64f
Тристаен апартамент,,1430.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-122146-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,3,2026-01-23 22:18:18.606346,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-122146,,,80,5,869cef5fd90b5365f21cb79e2020c60e
Двустаен апартамент,,818.0,EUR,False,наем,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-75140-stilen-dvustaen-apartament-pod-naem-na-top-lokatsiya-v-kv-lozenets/,3,2026-01-23 22:18:18.607401,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Kbs 75140,,,67,2,70b01406ab3fb122f641cfca5de93219
Двустаен апартамент,,750.0,EUR,False,продава,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-118991-stilen-dvustaen-apartament-s-podzemno-parkomyasto-v-lozenets/,3,2026-01-23 22:18:18.608384,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Sof 118991,,,71,2,0861f1ffa030f83ad833525edde03667
Тристаен апартамент,,1600.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-118300-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,3,2026-01-23 22:18:18.609341,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-118300,,,110,5,ca74a9453ecd6fe44f1078462d7102a4
Многостаен апартамент,,2500.0,EUR,False,наем,многостаен,София,Стрелбище,,Suprimmo,,https://www.suprimmo.bg/imot-41508-luksozen-dizaynerski-mnogostaen-apartament-pod-naem-do-bul-balgariya/,3,2026-01-23 22:18:18.610255,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Sfa 1275,,,301,7,12e786ad40d675a35a96ccb1c5fc442f
Тристаен апартамент,,1300.0,EUR,False,продава,тристаен,София,Борово,,Suprimmo,,https://www.suprimmo.bg/imot-137365-stilno-obzaveden-apartament-v-k-s-ot-zatvoren-tip-v-kvborovo/,3,2026-01-23 22:18:18.611302,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Sve-137365,,,105,2,dfa72d990ca08aad0a55a10297325a16
Тристаен апартамент,,899.0,EUR,False,наем,тристаен,София,Банишора,,Suprimmo,,https://www.suprimmo.bg/imot-137373-tristaen-apartament-pod-naem-v-kv-banishora-do-ul-opalchenska/,3,2026-01-23 22:18:18.612272,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,SOF-137373,,,125,3,6e1c10e216c8d5a80361e9338e4bc281
Тристаен апартамент,,1200.0,EUR,False,наем,тристаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137374-tristaen-apartament-pod-naem-v-zatvoren-kompleks-v-kvvitosha/,3,2026-01-23 22:18:18.613204,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,,Kbs 137374,,,144,4,ad46d6a9995fe16aae7547ec3ae84adf
