raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
ТРИСТАЕН С АКТ 16 ЦЕНТЪР,"Референтен номер: 2641. Реф. номер: 2641

ЕКСКЛУЗИВНО! ТОП ЛОКАЦИЯ! АКТ 16! ЛУКСОЗНА СГРАДА! ЮГ/ ИЗТОК! ЦЕТЪР! 

Предлагаме ви да закупите тристаен апартамент в луксозна нова сграда С АКТ 16 ОТ 2024 ГОДИНА на пешеходно разстояние от Х-Л ТРИМОНЦИУМ до ТЦ ГРАНД! 

Основни характеристики на имота: 

- Площ: 107кв.м

- Разпределение: Голям и светъл хол с кухненски бокс, две просторни спални, едната от които с обособена част за голям гардероб, баня с тоалетна, отделно тоалетна, перално помещение, тераса с уникална гледка към града. Към апартамента и складово помещение на същия етаж до апа..",269999.0,EUR,False,продава,тристаен,Пловдив,Център,,Лайт Хоум Риъл Естейт ЕООД,,https://www.alo.bg/tristaen-s-akt-16-centar-10558513,0,2026-02-04 06:14:01.524858,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10558513,,2523.36,107 кв.м,7 етаж,74d25b121d9d580bf65e1448e48ee389
Луксозен тристаен с акт 16/ Съдийски,"оф.24921

ИЗЦЯЛО ОБЗАВЕДЕН ПО ДИЗАЙНЕРСКИ ПРОЕКТ! АКТ 16! БЕЗ АНАЛОГ НА ПАЗАРА! ОБЗАВЕЖДАНЕ С НАЙ-ВИСОК КЛАС МЕБЕЛИ И ЕЛ. УРЕДИ! Предлагаме Ви да закупите страхотен тристаен апартамент без аналог на пазара, състоящ се от ПРОСТОРЕН ХОЛ С КУХНЕНСКИ БОКС И ТРАПЕЗАРИЯ, ДВЕ ГОЛЕМИ СПАЛНИ, БАНЯ С ТОАЛЕТНА, ОТДЕЛНА ТОАЛЕТНА, ПЕРАЛНО ПОМЕЩЕНИЕ, КОРИДОР И ДВЕ ТЕРАСИ. Жилището, което Ви предлагаме да закупите, ще бъде обзаведено по дизайнерски проект, с мебели и ел. уреди от най-висок клас, което ще Ви дава пълната възможност да се нанесете веднага. Имотът е перфектния избор, както за вашия нов и мечт..",244999.0,EUR,False,продава,тристаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/luksozen-tristaen-s-akt-16-sadiiski-10831537,0,2026-02-04 06:14:01.530509,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10831537,,2130.43,115 кв.м,7 етаж,f457bc6706c8918b308308fe3ebd1653
тристаен до ключ обзаведен до ВМИ и ул. ”Иван Вазов” 178000 евро,"Представяме Ви ново жилище в лукс кооперация с жива охрана на метри от ВМИ и на 5 минути пеша от ул. ”Иван Вазов” на тиха, малка уличка. Състои се от две спални, хол с голям кухненски бокс. Компактно, но много добре разпределено. Завършено до ключ и напълно обзаведено с мебели и електроуреди, три климатика Дайкин. Южно изложение, френски прозорци-много слънчево, вътрешно и топло. Статут на апартамент и по проект е оригинално с две спални. Идеално за инвестиция или живеене. Идеално за отдаване през платформи за нощувки. Свободно паркиране с достатъчно място на уличката. Възможност за парко мяст..",178000.0,EUR,False,продава,тристаен,Пловдив,Младежки хълм,,МД ИМОТИ ГРУП,,https://www.alo.bg/tristaen-do-klyuch-obzaveden-do-vmi-i-ul-ivan-vazov-178000-evro-7367414,0,2026-02-04 06:14:01.536117,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,7367414,,2696.97,66 кв.м,4 етаж,549ab3c8d18601dee992672ed2cc255e
Тристаен апартамент в Каменица 2,"Представяме Ви тристаен апартамент в кв. Кменица 2. Имота се намира на предпоследен етаж от осем етажна панелна сграда с изложение изток/запад. Състои се от коридор, хол, спалня, детска стая, кухня, баня, мокро помещение и тоалетна, тераса. Към апартамента има и избено помещение. Имота е за основен ремонт! 
Района е изключителено комуникативен, зелен с множество паркове, детски градини, училища. В непосредствена близост до МОЛ Плаза и парк Лаута. 
За повече инфомация се обадете на посочените контакти!",116999.0,EUR,False,продава,тристаен,Пловдив,Каменица 2,,Nextimo,,https://www.alo.bg/tristaen-apartament-v-kamenica-2-10726697,0,2026-02-04 06:14:01.541690,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10726697,,1720.57,68 кв.м,,169e69fe56a11425fdf94199163c98c0
Ексклузивно! Тристаен апартамент обзаведен до ключ в Център,"🌹Агенция за недвижими имоти Роуз хоумс

Ви представя ЕКСКЛУЗИВНО: 

🏠Тристаен имот завършен до ключ с прекрасна панорама към стария град и храм Света Неделя 
✨Жилището е завършени с висококачествени материали и уреди и очаква своите нови артистични собственици да го обзаведат по свой вкус
📐Разпределение - входно антре, всекидневна с излаз на тераса, две спални и баня с тоалетна
📍Имота се намира на комуникативна локация в самият Център на гр. Пловдив. 
🏢Ситуиран е на 4ти от 5 етажна сграда с асансьор
📌Сградата е с АКТ 16 от 2025г

📞 За допълнителна информация сме на разположение на п..",188000.0,EUR,False,продава,тристаен,Пловдив,Център,,Роуз Хоумс България ЕООД,,https://www.alo.bg/ekskluzivno-tristaen-apartament-obzaveden-do-klyuch-v-centar-10782178,0,2026-02-04 06:14:01.547409,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10782178,,2292.68,82 кв.м,4 етаж,01fa91436e8408d5b060cad9e310781d
3-стаен до Военна Болница,"оф.24915

ТОП ЛОКАЦИЯ! СРЕДЕН ЕТАЖ! ИЗТОЧНО ИЗЛОЖЕНИЕ! Предлагаме Ви да закупите чудесен тристаен апартамент със следното разпределение: Хол с кухненски бокс, две спални, баня с тоалетна, входно антре, две тераси, прилежащо избено и таванско помещение. Жилището се продава необзаведено и без съвременни подобрения което Ви позволява да го отремонтирате и обзаведете по Ваш собствен вкус. Намира се в близост до детски градини, училища, магазини и удобен градски транспорт. 

Авангард Риъл Естейт предлага Висока сигурност при покупка на имот и цялостно съдействие до финализиране на сделката пред..",112199.0,EUR,False,продава,тристаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/3-staen-do-voenna-bolnica-10841814,0,2026-02-04 06:14:01.553051,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10841814,,1869.98,60 кв.м,2 етаж,e3c88fbb938ac232ed71c88f8e95f91c
Изгоден двустаен с АКТ 16/ Съдийски,"оф.25069

ИЗГОДЕН! АКТ 16! ЮЖНО ИЗЛОЖЕНИЕ! СРЕДЕН ЕТАЖ! Предлагаме Ви да закупите изцяло обзаведен двустаен апартамент с акт 16, състоящ се от хол с кухненски бокс и трапезария, голяма спалня, баня с тоалетна, коридор, тераса и прилежащо избено помещение. Жилището, което Ви предлагаме да закупите се продава изцяло обзаведено, което Ви дава пълната възможност да се нанесете веднага. Имотът е перфектния избор, както за вашия нов дом, така и с цел инвестиция отдаване под наем. Намира се в един от най-предпочитаните райони, в близост до училища, детски градини, университети, автобусни спирки, це..",119999.0,EUR,False,продава,двустаен,Пловдив,Център,,Avangard Real Estate,,https://www.alo.bg/izgoden-dvustaen-s-akt-16-sadiiski-10773329,0,2026-02-04 06:14:01.558652,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10773329,,1791.03,67 кв.м,5 етаж,311dd4df5c84e3ed782657ed31875ddd
Срещу Младехки хълм,"НАМАЛЕНА ЦЕНА ДО КРАЯ НА ЯНУАРИ! Само за частни лица! Представяме на вашето внимание стилен двустаен апартамент, разположен в централната част на Пловдив, в квартал Център. Имотът е с обща площ от 112 кв.м и предлага съвременен комфорт, идеален за млади професионалисти или двойки. 

ЖИЛИЩЕ: 
- Апартаментът е напълно обзаведен и готов за нанасяне, с модерен интериор и уютна атмосфера. 
- Състои се от просторна дневна с обособен кухненски бокс, една спалня и баня с тоалетна. 
- Дневната е светла и приветлива, с излаз на тераса, която предлага прекрасна гледка и е идеална за отдих. 
- Имотъ..",215000.0,EUR,False,продава,двустаен,Пловдив,Център,,Topbroker Plovdiv,,https://www.alo.bg/sreshtu-mladehki-halm-10820939,0,2026-02-04 06:14:01.564286,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10820939,,1919.64,112 кв.м,5 етаж,18b75fb29a5e347895ef9519f4c9c93f
Продажба 3-стаен гр. Пловдив - Младежки Хълм 101m²,"М Инвест Имоти продава тристаен апартамент, на метри от Медицинския университет в гр. Пловдив. 
Просторен апартамент с чиста жилищна площ 94,40 кв.м., разположен на първи висок етаж в качествена тухлена сграда. Имотът се намира в непосредствена близост до Медицинския университет - отличен за живеене или инвестиция. 

Разпределение: 
	•	Две спални
	•	Две бани
	•	Голям хол с кухненски бокс
	•	Голяма тераса
	•	Изба 6,70 кв.м. 
	•	Обзаведен, готов за нанасяне

Предимства: 
	•	Топ локация
	•	Просторни помещения
	•	Удобен етаж
	•	Висока доходност при отдаване под наем
За контакти: *в..",240000.0,EUR,False,продава,тристаен,Пловдив,Младежки хълм,,М Инвест Имоти,,https://www.alo.bg/prodajba-3-staen-gr-plovdiv-mladejki-halm-101m-10648861,0,2026-02-04 06:14:01.569657,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10648861,,2376.24,101 кв.м,2 етаж,b9e4a9613966342a92210e03cab0142e
ЕКСКЛУЗИВНО! Двустаен апартамент в кв. Каменица 2 - напълно обзаведен и готов за нанасяне,"🙏 С всяка сделка ние от Diamond Home помагаме! 💎
Даряваме процент от нашата комисионна на Фондация „Вярвай“ - организация, която подпомага хора, борещи се с рак. 
Вярваме, че заедно можем да направим нещо повече от просто бизнес - можем да дадем надежда. ❤️

🏡 ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ! 
Предлагаме на Вашето внимание двустаен апартамент, част от нова сграда в кв. Каменица 2. Жилището е напълно обзаведено и готово за нанасяне, съчетавайки комфорт, стил и функционалност. 

📐 Площ: 60 кв.м
🏢 Етаж: 5/6
🧭 Изложение: Север

🛋️ Разпределение: Входно антре, просторна дневна с кухненски бокс, ..",164000.0,EUR,False,продава,двустаен,Пловдив,Каменица 2,,Diamond Home,,https://www.alo.bg/ekskluzivno-dvustaen-apartament-v-kv-kamenica-2-napalno-obzaveden-i-gotov-za-nanasyane-10509595,0,2026-02-04 06:14:01.575315,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",alobg,0,10509595,,2733.33,60 кв.м,5 етаж,8e81d9af416dad311fc9a9a0c405f038
