raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",175000.0,EUR,False,продава,двустаен,София,Сухата река,,SUPRIMMO,,https://www.alo.bg/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,0,2026-02-02 18:09:14.064626,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10383253,,2364.86,74 кв.м,4 етаж,51cb1d084194971b1a6ba8d2417b6409
Двустаен апартамент №4.32 в сграда S-Tower на бул. ”Г. М. Димитров”,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-127848 

Ексклузивно представяме за продажба двустаен апартамент №4.32 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",212600.0,EUR,False,продава,двустаен,София,Дианабад,,SUPRIMMO,,https://www.alo.bg/dvustaen-apartament-4-32-v-sgrada-s-tower-na-bul-g-m-dimitrov-10003788,0,2026-02-02 18:09:14.069299,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10003788,,2649.88,80.23 кв.м,4 етаж,4323df63ecf98e7ba2776d3f3659d287
Двустаен апартамент №4.28 в кула S-Tower на бул. ”Г. М. Димитров” в София,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-128675 

Ексклузивно представяме за продажба двустаен апартамент №4.28 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",247041.0,EUR,False,продава,двустаен,София,Дианабад,,SUPRIMMO,,https://www.alo.bg/dvustaen-apartament-4-28-v-kula-s-tower-na-bul-g-m-dimitrov-v-sofiya-10080380,0,2026-02-02 18:09:14.073905,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10080380,,2750.09,89.83 кв.м,4 етаж,89e578c8f14f7f28269a846dacb105ee
Прекрасен многостаен апартамент в София,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",640000.0,EUR,False,продава,многостаен,София,Редута,,Форт Нокс,,https://www.alo.bg/prekrasen-mnogostaen-apartament-v-sofiya-10850889,0,2026-02-02 18:09:14.078720,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10850889,,2909.09,220 кв.м,6 етаж,2ef0e1355d3bded2a8b1cc0df89256ba
"Нов ексклузивен жилищен проект в София - Corner Park, кв. Сухата река","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 87778
Отговорен брокер: Иван Каменов

Представяме в..",98538.0,EUR,False,продава,двустаен,София,Сухата река,,BULGARIAN PROPERTIES,,https://www.alo.bg/nov-ekskluziven-jilishten-proekt-v-sofiya-corner-park-kv-suhata-reka-10707720,0,2026-02-02 18:09:14.082559,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10707720,,2200.0,44.79 кв.м,,5774d313551633ba67ca4b4e8cc538f7
Продава 3-СТАЕН до Мартинели на бул. България,"ИНТЕРЕСЕН, ПЕРСПЕКТИВЕН, ТИХ, ВЪТРЕШЕН ап. в тухлена кооперация от 2004г.; в близост до бул. България, МАРТИНЕЛИ, БИЛЛА, МОЛ; отличен вход с портиер; етаж 1НМ от 9; асансьор; РАЗПРЕДЕЛЕНИЕ: 109,75 кв...",275000.0,EUR,False,продава,тристаен,София,Борово,,”АЛДЕС ИМОТИ” ЕООД,,https://www.alo.bg/prodava-3-staen-do-martineli-na-bul-balgariya-10845561,0,2026-02-02 18:09:14.086375,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10845561,,2083.33,132 кв.м,2 етаж,f07767d1b114772bbe30a632a908a60b
ИМА АКТ 16. Тристаен. Дървеница,"ИМА АКТ 16. Близо до УНСС. Директен договор с Инвеститора! Лесна схема на плащане! АПАРТАМЕНТИТЕ са готови-БДС! Близо до УНСС, множество автобусни линии, училища, детски градини, аптеки, магазини. Под..",240850.0,EUR,False,продава,тристаен,София,Дървеница,,България Пропърти Консултинг,,https://www.alo.bg/ima-akt-16-tristaen-darvenica-10536850,0,2026-02-02 18:09:14.090198,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10536850,,2482.99,97 кв.м,5 етаж,c0a98120b8c60f25baf3fde8b097d318
Тристаен апартамент №5.34 в сграда S-Tower на бул. ”Г. М. Димитров”,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-116659 

Ексклузивно представяме за продажба трис..",370655.0,EUR,False,продава,тристаен,София,Дианабад,,SUPRIMMO,,https://www.alo.bg/tristaen-apartament-5-34-v-sgrada-s-tower-na-bul-g-m-dimitrov-9103755,0,2026-02-02 18:09:14.093810,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,9103755,,2850.1,130.05 кв.м,5 етаж,8a9c42bafed3cb4bcc54347ca6c7fe45
Продава апартамент на бул. Прага,"ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ - Тристаен апартамент на бул. Прага, Център
Цена: 301 000 EUR
Площ: 70 кв.м | Етаж 4 | Монолитна тухлена сграда 
Представяме Ви изключително функционален тристаен апартамент..",301000.0,EUR,False,продава,тристаен,София,Медицинска академия,,Агенция за недвижими имоти ДОМИНУМ,,https://www.alo.bg/prodava-apartament-na-bul-praga-10826211,0,2026-02-02 18:09:14.097708,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10826211,,4300.0,70 кв.м,4 етаж,322654b45c1d818d0f90d2ce00ccc1d3
"До метростанция, Ул. ”Нишава”, Обзаведен непреходен 2-стаен след ремонт.","Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв. ’Белите брези’, ул. ’Нишава’. Комуникативно и същевременно тихо място. Близо до метростанция, до спирки на градски транспорт,..",238000.0,EUR,False,продава,двустаен,София,Белите брези,,Bulgaria Realty,,https://www.alo.bg/do-metrostanciya-ul-nishava-obzaveden-neprehoden-2-staen-sled-remont-10882087,0,2026-02-02 18:09:14.101356,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10882087,,3352.11,71 кв.м,7 етаж,4567d147ea84b2485c85a78b89b40fb5
Тристаен апартамент до хотел Плиска в ж.к. Изток,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",399990.0,EUR,False,продава,тристаен,София,Изток,,Galeria Homes - Real Estate,,https://www.alo.bg/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,0,2026-02-02 18:09:14.105190,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",alobg,0,10738129,,4166.56,96 кв.м,5 етаж,129ff10fe7bfeeea64987e90b23dbd00
