raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Двустаен апартамент в модерен комплекс в кв. Остромила,"Представяме ви двустаен апартамент в модерен, нов комплекс в кв. Остромила – имот, който впечатлява с функционално разпределение, южно изложение и отлична среда за живот. Жилището е с площ от 62 кв.м, от които 53 кв.м чиста площ и 9 кв.м общи части, разположено на 3-ти етаж в",88500.0,EUR,False,продава,двустаен,Пловдив,Остромила,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-88882-dvustaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.595859,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,88882,,,62.00,3,8dfa8f15d157ad4bbd6dcacd83d7bd49
Тристаен апартамент ново строителство с топ локация в кв. Христо Смирненски,"Предлагаме за продажба тристаен апартамент в новострояща се модерна сграда в един от най-предпочитаните райони на Пловдив – кв. Христо Смирненски. Имот с концепция, комфорт и изключително функционално разпределение, каквото рядко се среща на пазара.

Апартаментът е разположен",165000.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88671-tristaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.597986,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,88671,,,98.00,3,b56f1994c7a48ca69776ab9c74be1b3d
Двустаен апартамент с Акт 16 и паркомясто в кв. Беломорски,"Двустаен апартамент с Акт 16, разположен в тихия и уютен квартал Беломорски, който граничи с Кючук Париж. Районът се характеризира с преобладаващо жилищно застрояване, спокойна атмосфера, много зелени площи, което го прави отличен избор за семейства и хора, търсещи баланс между",118000.0,EUR,False,продава,двустаен,Пловдив,Беломорски,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89053-dvustaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.600103,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,89053,,,67.00,,79c5429076ed5a46986a3899930a3ad5
Тристаен апартамент в нова сграда в кв. Кършияка,"Просторно жилище в нова сграда, висок клас строителство в кв. Кършияка, до бул. България, с удобен градски транспорт, детски градини, училища, 3 болници, аптеки, супермаркети и много други ежедневни удобства.

Имотът се намира на седми етаж с площ 124.84 кв.м.:
• преддверие
•",189882.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-87223-tristaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.602239,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,87223,,,103.35,8,bc109741e0c284fce535ea7afc7cdcfd
Етаж от къща с прекрасна гледка към Родопите в гр. Куклен,"Етаж от просторна къща намираща се в полите на Родопите на няколко минути от град Пловдив. Имотът е достъпен целогодишно и предлага невероятна тишина, спокойствие и уединение. Намира се в края на града и разкрива невероятна гледка към Родопите. Разположен е едва на 8 км от втория",170000.0,EUR,False,продава,къща,Пловдив,,,Петър Петаларев,,https://www.bulgarianproperties.bg/imoti-etaji-ot-kashta/imot-85340-etaj-ot-kashta-za-prodajba-blizo-do-plovdiv.html,,2026-01-25 20:40:26.604599,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,85340,,,145.00,,4a385698142dbbe45e43d23cc42a05a9
Просторен апартамент с голяма тераса и гледка към Пловдивските тепета,"Тристаен апартамент в нова сграда в кв. Остромила. Апартаментът е проектиран с изключително функционално разпределение, а просторът и възможността за преустройства го правят гъвкав и подходящ за семейства с различни нужди.

Имотът е с площ 115 кв. м. (96.60 кв. м. чиста площ),",115000.0,EUR,False,продава,тристаен,Пловдив,Остромила,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88302-tristaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.606749,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,88302,,,115.00,5,8d1cfa78716b5ea3cf63c354ee51fd3f
Модерен жилищен комплекс с Акт 16 до Парк-хотел „Санкт Петербург“,"Представяме на вашето внимание студиа, двустайни и тристайни апартаменти, магазини и паркоместа в модерна бутикова сграда, разположена до хотел „Санкт Петербург“, в кв. Кършияка. Комплексът се отличава с висок клас строителство, съвременен архитектурен дизайн, европейска визия,",224728.0,EUR,False,продава,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85748-apartamenti-za-prodajba-v-plovdiv.html,Пловдив,Кършияка,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85748-apartamenti-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.608999,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,85748,,,156.58,,bbeb204e72bb1908bfcb0ed3aa1afdb6
Обзаведен двустаен апартамент с голяма тераса в близост до Гребна база,"Напълно обзаведен двустаен апартамент, разположен в малка бутикова кооперация с модерна визия, на спокойно място в непосредствена близост до Гребна база, с лесен достъп както от бул. „6-ти септември“, така и от бул. „Пещерско шосе“. 

Апартаментът е с площ 61.00 м2 (чиста площ",123000.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-88491-dvustaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.611217,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,88491,,,61.00,2,8966d693c0ab80d4e33e5749c6b332e9
Обзаведен тристаен апартамент в кв. Кършияка,"Представяме на вашето внимание тристайно жилище в бутикова сграда (2010 година), ситуирана в тихия и престижен квартал Кършияка, с лесна връзка с центъра и главната улица на Пловдив, близо до детска ясла, детска градина, училище, супермаркети на всички вериги, парк-хотел Санкт",225000.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-87450-tristaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.613364,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,87450,,,83.75,2,a3e0393c33af29c1289bfdca0a09c20f
Южен апартамент в нова сграда с Акт 16,"Отлична инвестиция или бъдещ дом в модерен жилищен комплекс!

Представяме ви нов двустаен апартамент в модерна жилищна сграда с Акт 16. Разположен на среден етаж в 11-етажна сграда, имотът предлага функционално разпределение, южно изложение и отлична локация в близост до големи",106400.0,EUR,False,продава,двустаен,Пловдив,Южен,,Стефан Моллов,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-86786-dvustaen-apartament-za-prodajba-v-plovdiv.html,,2026-01-25 20:40:26.615588,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,bulgarianproperties,,86786,,,76.00,3,c4d25598a18612ade8fbecfb903d308a
