raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
"Двустаен, 28m²","Тухла, Полуобзаведен, ТЕЦ",145000.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-28m2-sofiya-zhk.-iztok/as1667312,8,2026-02-03 18:15:11.085438,,homesbg,,1667312,днес,,,,777e0ddc1cac5007414427159905781d
"Четиристаен, 165m²","Тухла, Полуобзаведен, ТЕЦ",450000.0,EUR,False,,четиристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-165m2-sofiya-zhk.-iztok/as1247316,10,2026-02-03 18:15:11.085451,,homesbg,,1247316,днес,,,,69b24456734f05154d3559ef6aa72055
"Четиристаен, 103m²","ЕПК, ТЕЦ",465480.0,EUR,False,,четиристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-103m2-sofiya-zhk.-iztok/as1658064,10,2026-02-03 18:15:11.085456,,homesbg,,1658064,днес,,,,6d01a20ed2aa5fb2bbe30db97c9b33c8
"Тристаен, 84m²","Тухла, Електричество",410000.0,EUR,False,,тристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-84m2-sofiya-zhk.-iztok/as1659648,10,2026-02-03 18:15:11.085460,,homesbg,,1659648,днес,,,,d014c7d1084a46a1d06c2fdf16086624
"Двустаен, 60m²","Тухла, Обзаведен, ТЕЦ",178950.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-iztok/as1667938,8,2026-02-03 18:15:11.085465,,homesbg,,1667938,вчера,,,,7346d11c666f69a54543c7cd09f4a75c
"Двустаен, 93m²","Тухла, Полуобзаведен, ТЕЦ",275825.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-93m2-sofiya-zhk.-iztok/as1663821,10,2026-02-03 18:15:11.085470,,homesbg,,1663821,вчера,,,,4ca9143b0bc5dca876d9c1dd1b54da15
"Двустаен, 75m²","ЕПК, Обзаведен, Локално отопление",325000.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-75m2-sofiya-zhk.-iztok/as1606875,10,2026-02-03 18:15:11.085475,,homesbg,,1606875,вчера,,,,c5532b38b62a88720df44b77fbcb7ec1
"Четиристаен, 274m²","Тухла, ТЕЦ",950000.0,EUR,False,,четиристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-274m2-sofiya-zhk.-iztok/as1669472,10,2026-02-03 18:15:11.085480,,homesbg,,1669472,,,,,ab1a5cc1c5caf0fd93d95c9e672ccaf0
"Четиристаен, 262m²","Тухла, ТЕЦ",950000.0,EUR,False,,четиристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-262m2-sofiya-zhk.-iztok/as1669473,10,2026-02-03 18:15:11.085483,,homesbg,,1669473,,,,,ab1a5cc1c5caf0fd93d95c9e672ccaf0
"Многостаен, 520m²","Тухла, ТЕЦ",1600000.0,EUR,False,,многостаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/mnogostaen-520m2-sofiya-zhk.-iztok/as1669461,10,2026-02-03 18:15:11.085485,,homesbg,,1669461,,,,,c9c78c8c19b911628aa55410901a6017
"Двустаен, 120m²","Тухла, Полуобзаведен, ТЕЦ",499000.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-120m2-sofiya-zhk.-iztok/as1646493,10,2026-02-03 18:15:11.085489,,homesbg,,1646493,,,,,580f1ae919c2340c2d20a6de3c76388d
"Двустаен, 58m²","Тухла, Полуобзаведен",180000.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-58m2-sofiya-zhk.-iztok/as1646492,2,2026-02-03 18:15:11.085494,,homesbg,,1646492,,,,,a24a81ba7115e2bbd241a84f159ef951
"Тристаен, 173m²","Тухла, Обзаведен",622000.0,EUR,False,,тристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-173m2-sofiya-zhk.-iztok/as1582034,10,2026-02-03 18:15:11.085499,,homesbg,,1582034,,,,,2fcc50d0bdf3675b4507a0dd8bbf4175
"Тристаен, 121m²","Тухла, Необзаведен, ТЕЦ",399000.0,EUR,False,,тристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-121m2-sofiya-zhk.-iztok/as1656661,10,2026-02-03 18:15:11.085503,,homesbg,,1656661,,,,,358d070fbe6f4f86722ab9073ed44f07
"Четиристаен, 380m²","Тухла, Обзаведен",750000.0,EUR,False,,четиристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-380m2-sofiya-zhk.-iztok/as1396471,10,2026-02-03 18:15:11.085508,,homesbg,,1396471,,,,,5bd4c69658872637d9922b5f2ff3a9df
"Тристаен, 84m²","Тухла, Полуобзаведен, ТЕЦ",329000.0,EUR,False,,тристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-84m2-sofiya-zhk.-iztok/as1624762,10,2026-02-03 18:15:11.085513,,homesbg,,1624762,,,,,67886a4ba0e3907c63ac89fadeee006b
"Тристаен, 129m²","Тухла, Обзаведен, ТЕЦ",585000.0,EUR,False,,тристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-129m2-sofiya-zhk.-iztok/as1539589,10,2026-02-03 18:15:11.085516,,homesbg,,1539589,,,,,08ef124d659b0f1b63b5dcc784b46f26
"Четиристаен, 193m²","Тухла, Необзаведен, ТЕЦ",530000.0,EUR,False,,четиристаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-193m2-sofiya-zhk.-iztok/as1585662,10,2026-02-03 18:15:11.085519,,homesbg,,1585662,,,,,3ef83ae8fdb2f43105fb5daf15b70193
"Двустаен, 39m²",Обзаведен,200000.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-39m2-sofiya-zhk.-iztok/as1665866,8,2026-02-03 18:15:11.085522,,homesbg,,1665866,,,,,4376d33cb61529438ba4b9ccdbaf81f5
"Двустаен, 130m²","Тухла, Необзаведен, ТЕЦ",519950.0,EUR,False,,двустаен,София,Изток,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-130m2-sofiya-zhk.-iztok/as1667940,7,2026-02-03 18:15:11.085524,,homesbg,,1667940,,,,,9c3277daedeab10e96a456319b9c5187
