raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
"Земеделска земя, 895m²",Друго,5113.0,EUR,False,,земя,Сливен,Вилна Зона,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-895m2-sliven-vilna-zona/la35009,1,2026-01-25 20:41:08.313162,,homesbg,,35009,днес,,,,20225d1255ec297fa479353a7cf3e12b
"Земеделска земя, 959m²","Категория 9, Нива",5000.0,EUR,False,,земя,Сливен,С.Бяла,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,0,2026-01-25 20:41:08.313173,,homesbg,,34547,днес,,,,dfa011983055158fc5d6e7d18e1f6234
"Земеделска земя, 12577m²","Категория 4, Нива",13000.0,EUR,False,,земя,Пловдив,С.Труд,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-12577m2-plovdiv-s.trud/la35747,2,2026-01-25 20:41:08.313177,,homesbg,,35747,днес,,,,72e8a4ccdf9d2ed14a1b3fbd9f4e5aac
"Земеделска земя, 5580m²","Категория 4, Нива",23468.0,EUR,False,,земя,Пловдив,С.Цалапица,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5580m2-plovdiv-s.calapica/la35746,1,2026-01-25 20:41:08.313179,,homesbg,,35746,днес,,,,ce72e0d8582e3328cea4c006ee98b3d3
"Земеделска земя, 3000m²",Нива,93000.0,EUR,False,,земя,Пловдив,С.Костиево,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-s.kostievo/la35742,1,2026-01-25 20:41:08.313182,,homesbg,,35742,днес,,,,67d5d240cd7bd7d18f53ac72d4b0353b
"Земеделска земя, 4500m²",Нива,45000.0,EUR,False,,земя,Пловдив,С.Цалапица,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4500m2-plovdiv-s.calapica/la35744,1,2026-01-25 20:41:08.313186,,homesbg,,35744,днес,,,,92cb537aa19b96ab0edc5dd0ca352031
"Земеделска земя, 3000m²",Нива,62000.0,EUR,False,,земя,Пловдив,Бенковски,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-s.benkovski/la35745,1,2026-01-25 20:41:08.313194,,homesbg,,35745,днес,,,,a0cb5c03d5b4a462959fb4069c05f070
"Земеделска земя, 3000m²",Нива,79500.0,EUR,False,,земя,Пловдив,С.Калековец,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-s.kalekovec/la35743,1,2026-01-25 20:41:08.313200,,homesbg,,35743,днес,,,,d7b94213e9e50897b23e49845819fb03
"Земеделска земя, 7100m²","Категория 3, Нива",16000.0,EUR,False,,земя,Родопи,С.Устина,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-7100m2-rodopi-s.ustina/la35748,3,2026-01-25 20:41:08.313205,,homesbg,,35748,днес,,,,d8dcaf378628d0bc4c5fd5dfb1b668f5
"Земеделска земя, 2969m²","Категория 4, Нива",74500.0,EUR,False,,земя,София,Овча купел,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2969m2-sofiya-zhk.-ovcha-kupel/la35091,2,2026-01-25 20:41:08.313210,,homesbg,,35091,вчера,,,,1d5a943e51693e9e5bccaf8d3af646f4
