raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 21 дка, Ивайло, Продавам 21 декара земеделска земя. Намира се на асфалтиран път, на изхода на с. Ивайло на път за ма ..., тел.: 0876524928",500000.0,EUR,False,продава,земя,Ивайло,Област Пазарджик,0876524928,,,https://www.imot.bg/obiava-1s175630186634346-prodava-zemedelska-zemya-oblast-pazardzhik-s-ivaylo-ivaylo,,2026-02-01 06:16:17.379264,,imotbg,0,1.0,,,,,267cd486acbb2eb8dc920367dafc802a
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 12.12.2025 г. и рента 50 €/год., 130 дка, Гекко Хоум предлага за продажба земеделска земя в Добричка област, Генерал Тошево. Земята е 3-та кат ..., тел.: 0893717250",27916537.0,EUR,False,продава,земя,Генерал Тошево,Област Добрич,0893717250,ГЕККО ХОУМ,https://gekkohome.imot.bg,https://www.imot.bg/obiava-1s176337681141079-prodava-zemedelska-zemya-oblast-dobrich-gr-general-toshevo,,2026-02-01 06:16:17.380294,,imotbg,0,1.0,,,,,f645187504c3f610e332d51d7b618bd4
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813",6033244.0,EUR,False,продава,земя,Тервел,Област Добрич,0888717813,АДРЕС НЕДВИЖИМИ ИМОТИ - ДОБРИЧ,https://address_dobrich.imot.bg,https://www.imot.bg/obiava-1s175636549416627-prodava-zemedelska-zemya-oblast-dobrich-gr-tervel-voynikovo,,2026-02-01 06:16:17.381269,,imotbg,0,1.0,,,,,2e527322d532bdadbd0794e19bcb30ed
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 12.12.2025 г. и рента 50 €/год., 43 дка, Гекко Хоум предлага за продажба земеделска земя във Добричка област, с. Крушари. Земята е 3-та катег ..., тел.: 0893717250",7255232.0,EUR,False,продава,земя,Крушари,Област Добрич,0893717250,ГЕККО ХОУМ,https://gekkohome.imot.bg,https://www.imot.bg/obiava-1s176337648194164-prodava-zemedelska-zemya-oblast-dobrich-s-krushari,,2026-02-01 06:16:17.382238,,imotbg,0,1.0,,,,,30c60987fd92c67f29553a7705c7b293
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Гори и храсти в земеделска земя, кат. 1, 8 дка, м. Радулица, В землищата на гр.Панагюрище , в местността  Радулица   се продава залесен с почти само иглолистна д ..., тел.: 0899193182",0.0,,False,продава,земя,Панагюрище,Област Пазарджик,0899193182,ВАРИАНТ,https://variant_pan.imot.bg,https://www.imot.bg/obiava-1s176915078816962-prodava-zemedelska-zemya-oblast-pazardzhik-gr-panagyurishte-m-radulitsa,,2026-02-01 06:16:17.383192,,imotbg,0,1.0,,,,,a778f0b867aa7aeaf93e33200163966e
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861",283500.0,EUR,False,продава,земя,Пловдив,Област Пловдив,0896748861,ТРИВИУМ ЕСТЕЙТ,https://trivium.imot.bg,https://www.imot.bg/obiava-1s176882482692772-prodava-zemedelska-zemya-oblast-plovdiv-gr-plovdiv,,2026-02-01 06:16:17.384150,,imotbg,0,1.0,,,,,5e615e8cc4d047b01ba812c4f120519d
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 4.5 дка, Кръговото за Пловдив, Продавам земя 4500кв.м. на втора линия преди с.Крумово  Продавам земя/поземлен имот с площ от 4500кв ..., тел.: 0892970864",104000.0,EUR,False,продава,земя,Пловдив,Област Пловдив,0892970864,НЕУМОРНАТА ИМПЕРИЯ,https://neumornata.imot.bg,https://www.imot.bg/obiava-1s176825963966493-prodava-zemedelska-zemya-oblast-plovdiv-s-kurtovo-kragovoto-za-plovdiv,9.0,2026-02-01 06:16:17.385312,,imotbg,0,1.0,,23.11,4500,,2f6c9290eb88506eab71e473b92f98ae
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Гори и храсти в земеделска земя, кат. 1, 197 дка, Гората се намира в село Видраре, община Правец. От общо 197 дка 147 дка са съседни и граничат с водн ..., тел.: 0888-966696",56145.0,EUR,False,продава,земя,София,Област София,0888-966696,АРИСТО ЕООД,https://aristo.imot.bg,https://www.imot.bg/obiava-1s151284042727607-prodava-zemedelska-zemya-oblast-sofiya-s-vidrare,,2026-02-01 06:16:17.386276,,imotbg,0,1.0,,,,,af9b80c916a5bbb604818eac01c63384
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Овощна градина, кат. 3, 57 дка, Предлагаме на Вашето внимание един инвестиционен имот - Био сертифицирана овощна градина с площ 53 д ..., тел.: 0887804491",240000.0,EUR,False,продава,земя,Осмар,Област Шумен,0887804491,БИЛДИНГ ТАЙМ,https://buildingtime.imot.bg,https://www.imot.bg/obiava-1s171533604286635-prodava-zemedelska-zemya-oblast-shumen-s-osmar,17.0,2026-02-01 06:16:17.387464,,imotbg,0,1.0,,,,,91cbb98c8620c5786f6eb2ee4a750be5
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180",144000.0,EUR,False,продава,земя,Стара Загора,Зора,0886426180,ЯВЛЕНА - СТАРА ЗАГОРА,https://yavlena_sz.imot.bg,https://www.imot.bg/obiava-1s156655360699782-prodava-zemedelska-zemya-grad-stara-zagora-zora,2.0,2026-02-01 06:16:17.388416,,imotbg,0,1.0,,,,,984e20460fcca016c65be828d82f6035
