raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Продава  Земеделска земя,"Нива, кат. 4, , Предлагаме за продажба земеделска земя в гр. Пазарджик в местност 'ТАТАР ЕКИН' зад Крез с площ 9,769 ...",97690.0,EUR,False,продава,земя,Пазарджик,Запад,0888181889,,,https://www.imoti.com/obiava/48631714/prodava-zemedelska-zemya-grad-pazardzhik-zapad,1,2026-01-31 18:07:10.070675,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,48631714.0,13:10 26.07.2022,,,,f43025d427c1778901aea818883a2681
Продава  Земеделска земя,"Нива, кат. 4, , Земеделска земя в гр. Пазарджик в близост до мост Атлантик с обща площ от 7,268 дка. подходяща за см ...",72680.0,EUR,False,продава,земя,Пазарджик,Запад,0888181889,,,https://www.imoti.com/obiava/67761796/prodava-zemedelska-zemya-grad-pazardzhik-zapad,1,2026-01-31 18:07:10.071168,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,67761796.0,10:28 07.06.2022,,,,7c07efa87d2a18ef2730d7c42e8a9a2a
Продава  Земеделска земя,"Нива, кат. 4, , ПРОДАВА СЕ ИМОТ С ПЛОЩ ОТ 12500 КВ.М И ЛИЦЕ 70 МЕТРА НА ГЛАВЕН ПЪТ, С УДОБЕН ДОСТЪП ОТ И КЪМ ПЪТ Е80 ...",200000.0,EUR,False,продава,земя,Пловдив,Индустриална зона,0898333919,,,https://www.imoti.com/obiava/96777517/prodava-zemedelska-zemya-grad-plovdiv-industrialna-zona-iztok,1,2026-01-31 18:07:10.071594,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,96777517.0,18:00 04.06.2019,,,,4a5ae0e4f781f88099ec829653d1ca91
Продава  Земеделска земя,"Нива, кат. 4, с Аренден договор до 25.10.2019 г. и рента 60 лв./год., , Нива с лице на асфалтов път,близко до разклона за с.Червена вода,ток,вода,газ до нивата.",0.0,,False,продава,земя,Русе,Дружба,082/82-84-86,,,https://www.imoti.com/obiava/58846591/prodava-zemedelska-zemya-grad-ruse-druzhba-3,1,2026-01-31 18:07:10.072014,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,58846591.0,13:11 28.11.2024,,,,2ed8dc8232a89981a538a307d32d7440
Продава  Земеделска земя,"Нива, кат. 10, , ТЕЛ.:0879432468; 0301 69999/ПРЕДЛАГАМЕ ВИ ЗА ПРОДАЖБА НА ЖИВОПИСЕН ИМОТ ВЪВ ВИЛНАТА ЗОНА НА ГРАД СМО ...",29600.0,EUR,False,продава,земя,Смолян,В.З. Смолян,0301/69999  0879/,,,https://www.imoti.com/obiava/69415588/prodava-zemedelska-zemya-grad-smolyan-v-z-smolyan,1,2026-01-31 18:07:10.072439,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,69415588.0,09:45 19.04.2019,,,,4c5310bc9b83771caf5cf067d7dff36b
Продава  Земеделска земя,"Нива, кат. 5, , Прекрасен,слънчев имот, с невероятна гледка към Рила и Пирин.в местността 'Байова борика'землището н ...",25000.0,EUR,True,продава,земя,Банско,Област Благоевград,0895539823,,,https://www.imoti.com/obiava/89699421/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-31 18:07:10.072887,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,89699421.0,14:33 16.01.2026,,,,665d0c5f88e130b03b1fb1e9b6f4e7af
Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ...",35000.0,EUR,False,продава,земя,Банско,Област Благоевград,0899564900,Имоти,,https://www.imoti.com/obiava/98861259/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-31 18:07:10.073341,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,98861259.0,15:51 28.06.2022,,,,0d530a8bfac2d7bcef41df9b3e03dd13
Продава  Земеделска земя,,40000.0,EUR,False,продава,земя,Банско,Област Благоевград,0895670590,,,https://www.imoti.com/obiava/91448698/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-31 18:07:10.073765,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,91448698.0,15:46 15.02.2020,,,,b70a889b0c850d09b2116fbd5c5f3877
Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 1,230 ...",79950.0,EUR,False,продава,земя,Банско,Област Благоевград,0899564900,,,https://www.imoti.com/obiava/58792903/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-31 18:07:10.074210,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,58792903.0,15:03 10.03.2021,,,,61029012464f66453081a436490c93f7
Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 2,098 ...",136370.0,EUR,False,продава,земя,Банско,Област Благоевград,0899564900,,,https://www.imoti.com/obiava/60120567/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-31 18:07:10.074644,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,60120567.0,14:55 10.03.2021,,,,ac14abb2ca6d3dc0fa200f5fd924e00d
Продава  Земеделска земя,,0.0,,False,продава,земя,Белица,Област Благоевград,0878670102,,,https://www.imoti.com/obiava/33349016/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-belitsa,1,2026-01-31 18:07:10.075067,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,33349016.0,08:56 26.01.2026,,,,2f75f67b22b1ef106b189bc648c7fa7d
Продава  Земеделска земя,,20500.0,EUR,False,продава,земя,Благоевград,Област Благоевград,0888 02 44 88,,,https://www.imoti.com/obiava/78873060/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,1,2026-01-31 18:07:10.075490,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,78873060.0,16:11 28.01.2026,,,,8da2e0465976d81d0482e8c6fbccafbb
Продава  Земеделска земя,,26320.0,EUR,True,продава,земя,Благоевград,Област Благоевград,0899942911,,,https://www.imoti.com/obiava/88515467/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,1,2026-01-31 18:07:10.075936,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,88515467.0,10:23 11.07.2022,,,,54190ef400c4b0f82c25faddcf3b2b63
Продава  Земеделска земя,"Нива, кат. 5, , ARRAY(0x805570468)",200.0,EUR,False,продава,земя,Гоце Делчев,Област Благоевград,0895953343,,,https://www.imoti.com/obiava/16640149/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,1,2026-01-31 18:07:10.076366,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,16640149.0,08:38 12.06.2024,,,,cfd469af792226d9693e3bfb682cb0dd
Продава  Земеделска земя,"Нива, кат. 4, , Атрактивен имот на главен път Гоце Делчев - Гърция.",360000.0,EUR,False,продава,земя,Гоце Делчев,Област Благоевград,0894766790,,,https://www.imoti.com/obiava/16337696/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,1,2026-01-31 18:07:10.076787,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,16337696.0,10:31 30.03.2023,,,,48fb394daa172f35fe686fa85a756103
Продава  Земеделска земя,"Нива, кат. 6, , Земеделска земя, на 1ва линия по пътя Гоце Делчев - Драма, при с. Копривлен. 9.5дка. Има лице на два ...",330000.0,EUR,False,продава,земя,Гоце Делчев,Област Благоевград,0878783256,,,https://www.imoti.com/obiava/94312322/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,1,2026-01-31 18:07:10.077213,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,94312322.0,13:52 21.07.2023,,,,f8e07039281631fa135da2f66426a2ec
Продава  Земеделска земя,,200000.0,EUR,False,продава,земя,Кресна,Област Благоевград,0878703816,,,https://www.imoti.com/obiava/99777254/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-kresna,1,2026-01-31 18:07:10.077638,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,99777254.0,15:40 15.11.2024,,,,76b3bc32bf8d664eeef3ad4138903f46
Продава  Земеделска земя,,3000.0,EUR,False,продава,земя,Петрич,Област Благоевград,0892974844,,,https://www.imoti.com/obiava/88719339/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-petrich,1,2026-01-31 18:07:10.078067,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,88719339.0,13:17 29.09.2025,,,,578f4c06222edcb258f39b4f697e8789
Продава  Земеделска земя,"Нива, кат. 5, , Имот с площ от 18 декара в местността 'Гробо', землище на Разлог. Имотът е атрактивен и е подходящ з ...",40000.0,EUR,False,продава,земя,Разлог,Област Благоевград,0895670590,,,https://www.imoti.com/obiava/68715163/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-razlog,1,2026-01-31 18:07:10.078489,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,68715163.0,18:02 25.01.2020,,,,617eb94c6be0a15c1077b2f1cab86610
Продава  Земеделска земя,,111111.0,EUR,False,продава,земя,Баня,Област Благоевград,0888770170,,,https://www.imoti.com/obiava/66476702/prodava-zemedelska-zemya-oblast-blagoevgrad-s-banya,1,2026-01-31 18:07:10.078911,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,66476702.0,08:59 04.03.2023,,,,01be3e8a714d192029121bf8452a8a9f
Продава  Земеделска земя,,3000.0,EUR,False,продава,земя,Беласица,Област Благоевград,0892974844,,,https://www.imoti.com/obiava/20786653/prodava-zemedelska-zemya-oblast-blagoevgrad-s-belasitsa,1,2026-01-31 18:07:11.571021,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,20786653.0,13:10 29.09.2025,,,,38109c5f724e59d64418f1fb34ebb749
Продава  Земеделска земя,"Нива, кат. 5, , Нива с площ от 13,5 декара в землището на село Дебрен, община Гърмен.
Нивата е поливна, 5-та категор ...",65000.0,EUR,False,продава,земя,Гърмен,Област Благоевград,0895670590,,,https://www.imoti.com/obiava/41513664/prodava-zemedelska-zemya-oblast-blagoevgrad-s-garmen,1,2026-01-31 18:07:11.571465,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,41513664.0,14:41 20.01.2023,,,,1a57fde8a44050074ebd9b22611cdaed
Продава  Земеделска земя,"Нива, кат. 5, , Продават се 11 земеделски имота с обща площ oт 17,717 декара в землището на с.Крушево, общ. Гърмен.  ...",0.0,,False,продава,земя,Гърмен,Област Благоевград,0895670590,,,https://www.imoti.com/obiava/61398516/prodava-zemedelska-zemya-oblast-blagoevgrad-s-garmen,1,2026-01-31 18:07:11.571882,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,61398516.0,10:51 19.12.2024,,,,9948896921c5e4cc4381b0ce3fca6ec5
Продава  Земеделска земя,"Нива, кат. 8, , Земеделски имот с площ от 99 декара в землището село Дъбница. Масивът граничи с регулация на селото. ...",300000.0,EUR,False,продава,земя,Дъбница,Област Благоевград,0895670590,,,https://www.imoti.com/obiava/47362069/prodava-zemedelska-zemya-oblast-blagoevgrad-s-dabnitsa,1,2026-01-31 18:07:11.572314,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,imoticom,380,47362069.0,15:45 06.02.2023,,,,c35e1899222453e1d45289ad4987701e
