raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
"продаваДвустаен апартамент,56 м2",Строителството е стартирало!Директно от инвеститора!Цената е промоционална 990 евро/кв.м.!Предлагаме Ви двустаен апартамент в новострояща се сграда на новият бул....,55390.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6003393/?sid=gRy1fA&page=1,2,2026-02-02 18:09:19.211337,,imotinet,,,,Цена на /м2/:989EUR/1 934.53BGN,56 м2,Етаж: 16 от 18,42d185412cef24ad71df50d43a98e651
"продаваДвустаен апартамент,59 м2",Строителството е стартирало!Директно от инвеститора!Разсрочено плащане!Цената е промоционална 990 евро/кв.м.!Предлагаме Ви двустаен апартамент в новострояща...,58192.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/5974094/?sid=gRy1fA&page=1,2,2026-02-02 18:09:19.212228,,imotinet,,,,Цена на /м2/:986EUR/1 929.05BGN,59 м2,Етаж: 5 от 18,aaef9ee1e9faa8ed95c1bb42f74588ad
"продаваДвустаен апартамент,68 м2","Директно от инвеститора!Без комисионна!Промоционална цена 960 евро/кв.м.,при плащане на 80% от сумата!При плащане на 5 вноски цената е 980 евро/кв.м.!...",65174.0,EUR,False,продава,двустаен,Пловдив,Гагарин,,продава,,https://www.imoti.net/bg/obiava/prodava/plovdiv/gagarin/dvustaen/6194516/?sid=gRy1fA&page=1,3,2026-02-02 18:09:19.213063,,imotinet,,,,Цена на /м2/:958EUR/1 874.55BGN,68 м2,Етаж: 3 от 9,8c490f49f33f2f5f47695813b4e2a536
"продаваДвустаен апартамент,66 м2",Строителството е стартирало!Без комисионна!Директно от инвеститора!Цената е промоционална 990 евро/кв.м.!Предлагаме Ви двустаен апартамент в новострояща се...,65600.0,EUR,False,продава,двустаен,Пловдив,Гагарин,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/gagarin/dvustaen/5972283/?sid=gRy1fA&page=1,2,2026-02-02 18:09:19.213872,,imotinet,,,,Цена на /м2/:994EUR/1 943.98BGN,66 м2,Етаж: 15 от 18,01131284d2d22f46e11f1e9eb1fd546a
"продаваДвустаен апартамент,69 м2",Строителството е стартирало!Директно от инвеститора!Разсрочено плащане!Промоционална цена 990 евро/кв.м.!Предлагаме Ви двустаен апартамент в новострояща се...,67890.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6020085/?sid=gRy1fA&page=1,2,2026-02-02 18:09:19.214736,,imotinet,,,,Цена на /м2/:984EUR/1 924.37BGN,69 м2,Етаж: 9 от 18,445df94cec40a0fda8a58f2db3dbb74b
"продаваДвустаен апартамент,74 м2","Оферта 1-6363, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Ниско етажно строителство. Предлагаме Ви...",68400.0,EUR,False,продава,двустаен,Пловдив,Беломорски,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6044963/?sid=gRy1fA&page=1,1,2026-02-02 18:09:19.215479,,imotinet,,,,Цена на /м2/:924EUR/1 807.82BGN,74 м2,Етаж: 4 от 4,4886ddea6db505e65e951b9127ed2989
"продаваДвустаен апартамент,72 м2",Директно от инвеститора!Без комисионна!Промоционална цена 960 евро/кв.м. при плащане на 80% от сумата!При плащане на 5 вноски цената е 980 евро/кв.м.!...,68986.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,продава,,https://www.imoti.net/bg/obiava/prodava/plovdiv/kyrshijaka/dvustaen/6114520/?sid=gRy1fA&page=1,5,2026-02-02 18:09:19.216296,,imotinet,,,,Цена на /м2/:958EUR/1 873.95BGN,72 м2,Етаж: 4 от 9,d541b4b2e6eb8d5c63e71348eebb9dd1
"продаваДвустаен апартамент,74 м2","Оферта 1-4320, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Високо етажно строителство. Предлагаме Ви...",70300.0,EUR,False,продава,двустаен,Пловдив,Въстанически,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/5912866/?sid=gRy1fA&page=1,7,2026-02-02 18:09:19.217053,,imotinet,,,,Цена на /м2/:950EUR/1 858.04BGN,74 м2,Етаж: 7 от 10,f482f04ab27a141a05f0f6dbdc0a41b5
"продаваДвустаен апартамент,74 м2",Строителството е стартирало!Цената е по-ниска от тази на инвеститора 960 евро/кв.м.!Разсрочено плащане в рамките на строителството!Предлагаме Ви двустаен апартамент...,71000.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6148349/?sid=gRy1fA&page=1,2,2026-02-02 18:09:19.217859,,imotinet,,,,Цена на /м2/:959EUR/1 876.54BGN,74 м2,Етаж: 2 от 18,edc8f93a0e4cc27987ef50f5a683c7ea
"продаваДвустаен апартамент,73 м2",Директно от инвеститора!Разстояние плащане!Цената е промоционална 990 евро/кв.м.!Разпределение на апартамента:Просторна дневна с трапезария и кухненски...,72507.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,продава,,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6090625/?sid=gRy1fA&page=1,2,2026-02-02 18:09:19.218668,,imotinet,,,,Цена на /м2/:993EUR/1 942.62BGN,73 м2,Етаж: 10 от 18,22caa0c350a03f6b708969d666f246bd
