raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Тристаен апартамент,,1200.0,EUR,False,наем,тристаен,Пловдив,Христо Смирненски,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47576-tristaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.599062,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,47576,,11.43,105,5,1b055eac49cd79383326d75e95e51936
Двустаен апартамент,,650.0,EUR,False,наем,двустаен,Пловдив,Христо Смирненски,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-43149-dvustaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.600297,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,43149,,8.67,75,3,9c65903741258fa60cc8a7b2b325a035
Двустаен апартамент,,700.0,EUR,False,наем,двустаен,Пловдив,Отдих и Култура,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47318-dvustaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.601380,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,47318,,9.72,72,2,1641632f3f8e091e19227e745b51c217
Двустаен апартамент,,650.0,EUR,False,наем,двустаен,Пловдив,Център,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47280-dvustaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.602735,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,47280,,9.7,67,2,2b580d4782b9de88e6d539c21ecbaa3e
Тристаен апартамент,,715.0,EUR,False,наем,тристаен,Пловдив,Каменица 2,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-41147-tristaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.604037,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,41147,,7.53,95,8,a73fd82c1bb860de106e2790956e86ba
Двустаен апартамент,,780.0,EUR,False,наем,двустаен,Пловдив,Каменица 1,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-40339-dvustaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.605406,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,40339,,9.32,83.68,5,a1c60e8af69fdd27c95bad90d5e33132
Двустаен апартамент,,600.0,EUR,False,наем,двустаен,Пловдив,Христо Смирненски,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-46708-dvustaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.606700,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,46708,,7.84,76.55,2,635e73d6600a726184aff423b944c3d7
Двустаен апартамент,,735.0,EUR,False,наем,двустаен,Пловдив,Христо Смирненски,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-41367-dvustaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.608092,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,41367,,10.5,70,4,4abb415f19ff95c9787bb7f0f827c97e
Тристаен апартамент,,750.0,EUR,False,наем,тристаен,Пловдив,Сточна Гара Пловдивска,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-46381-tristaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.609291,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,46381,,7.65,98,2,0999be229de8b5b2b547db772969ab49
Четиристаен апартамент,,2000.0,EUR,False,наем,четиристаен,Пловдив,Христо Смирненски,,Luximmo,,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-45896-chetiristaen-apartament-pod-naem-v-plovdiv.html,0,2026-01-30 18:08:17.610705,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,luximmo,0,45896,,11.15,179.40,6,86d37516e239b3863f3091d17d3aa363
