raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Тристаен апартамент,,153461.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125423-tristaen-apartament-v-elegantniya-kompleks-magnoliya-forest-v-plovdiv/,3,2026-01-24 06:06:12.055686,,suprimmo,261,PLV-125423,,1589.12,96.57,4,17b2342cb5cd30ade062ba9c5b6f07a6
Двустаен апартамент(В процес на строителство),,110720.0,EUR,False,продава,двустаен,Пловдив,Каменица 2,,Suprimmo,,https://www.suprimmo.bg/imot-137385-dvustaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,3,2026-01-24 06:06:12.056679,,suprimmo,261,PLV-137387,,1449.97,76.36,4,7633cf84210720bdaf8f733d0117a840
Двустаен апартамент,,149000.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-137375-svetal-dvustaen-apartament-do-klyuch-v-nov-kompleks-v-kv-karshiyaka/,3,2026-01-24 06:06:12.057661,,suprimmo,261,PLV-137375,,2029.14,73.43,2,834c371969c043fa683eadeed0e87a15
Двустаен апартамент,,180000.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137379-dvustaen-apartament-v-nov-moderen-kompleks-v-kv-hristo-smirnenski/,3,2026-01-24 06:06:12.058613,,suprimmo,261,PLV-137379,,2500.0,72,4,2733b798c470d8e251bec0dcc73f25b8
Тристаен апартамент,,148770.0,EUR,False,продава,тристаен,Пловдив,Тракия,,Suprimmo,,https://www.suprimmo.bg/imot-137384-tristaen-apartament-v-nov-kompleks-v-kv-trakiya/,3,2026-01-24 06:06:12.059561,,suprimmo,261,PLV-137384,,1153.26,129,2,1281ef8039889a83d2e5867049c04bc4
Тристаен апартамент(В процес на строителство),,145580.0,EUR,False,продава,тристаен,Пловдив,Каменица 2,,Suprimmo,,https://www.suprimmo.bg/imot-137353-tristaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,3,2026-01-24 06:06:12.060529,,suprimmo,261,PLV-137353,,1255.0,116,2,9ce5d80d58bb28b4cca6319a69ee006a
Тристаен апартамент,,156000.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-98448-tristaen-apartament-v-kompleks-s-akt-16-v-park-otdih-i-kultura/,3,2026-01-24 06:06:12.061410,,suprimmo,261,PLV-98448,,1707.9,91.34,4,df4c5236e6e604d74416e3f688e8445c
Двустаен апартамент,,119000.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137246-dvustaen-apartament-s-panorama-kam-rodopite-v-nov-kompleks-do-mall-plovdiv/,3,2026-01-24 06:06:12.062260,,suprimmo,261,PLV-137246,,1608.11,74,8,f1385ee04a1be17b2486970622ef9048
Двустаен апартамент,,88900.0,EUR,False,продава,двустаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-137266-dvustaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,3,2026-01-24 06:06:12.063106,,suprimmo,261,PLV-137266,,784.43,113.33,4,b24589e9d9a0d1d71cb6ff3cf45a3c3b
Тристаен апартамент(В процес на строителство),,134665.0,EUR,False,продава,тристаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-137197-gradinski-tristaen-apartament-s-golyam-dvor-v-kv-ostromila/,3,2026-01-24 06:06:12.063993,,suprimmo,261,PLV-137197,,1413.36,95.28,1,b315fcf87950fd6c6d4bf88a40dd323b
Едностаен апартамент(Предварителни продажби ),,82872.0,EUR,False,продава,едностаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137073-ednostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,2026-01-24 06:06:12.064880,,suprimmo,261,PLV-137073,,1390.0,59.62,3,ffdc3ad0d85c71b8fbfeffe1e726d3d6
Двустаен апартамент(Предварителни продажби ),,103833.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137078-dvustaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,2026-01-24 06:06:12.065798,,suprimmo,261,PLV-137078,,1390.0,74.70,2,4832fe6c445423559f369a420c8cd1d9
Тристаен апартамент(Предварителни продажби ),,164852.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137082-tristaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,2026-01-24 06:06:12.066702,,suprimmo,261,PLV-137082,,1370.0,120.33,2,4033731f182e62c88875cfe8ae33bb03
Четиристаен апартамент(Предварителни продажби ),,391179.0,EUR,False,продава,четиристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137083-mnogostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,2026-01-24 06:06:12.067624,,suprimmo,261,PLV-137083,,1480.0,264.31,7,3977cc0a47404ae04507a2d9afbd0dc0
Четиристаен апартамент,,360000.0,EUR,False,продава,четиристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137019-dizaynerski-mnogostaen-apartament-v-idealniya-tsentar-na-plovdiv/,3,2026-01-24 06:06:12.068559,,suprimmo,261,PLV-137019,,2975.21,121,4,6f42e904201308e6f00bdd0621d26908
Тристаен апартамент,,259800.0,EUR,False,продава,тристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137039-tristaen-apartament-v-sanirana-tuhlena-sgrada-v-idealniya-tsentar-na-plovdiv/,3,2026-01-24 06:06:12.069394,,suprimmo,261,PLV-137039,,3330.77,78,1,81b14c0988193616b79e7963d9deb474
Тристаен апартамент(В процес на строителство),,119900.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137053-tristaen-apartament-v-nov-kompleks-ot-dve-malki-sgradi-v-kv-hristo-smirnenski/,3,2026-01-24 06:06:12.070268,,suprimmo,261,PLV-137053,,904.91,132.50,5,f769af7649a703e023691743d21ce82d
Едностаен апартамент(В процес на строителство),,0.0,,False,продава,едностаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-136977-studio-v-inovativen-kompleks-v-kv-ostromila/,3,2026-01-24 06:06:12.071097,,suprimmo,261,PLV-136977,,,39,2,d5ac0fffd36cdcbf0eb1b9be6273bf3e
Тристаен апартамент(В процес на строителство),,156650.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125014-tristaen-apartament-v-butikov-kompleks-kv-karshiyaka-v-plovdiv/,3,2026-01-24 06:06:12.072061,,suprimmo,261,PLV-125014,,1500.05,104.43,3,be0cc56ca7d1538310bd3f76ce807abc
Двустаен апартамент(В процес на строителство),,90000.0,EUR,False,продава,двустаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-122427-nov-dvustaen-apartament-v-moderen-kompleks-s-akt-14/,3,2026-01-24 06:06:12.072965,,suprimmo,261,PLV-122427,,1240.35,72.56,4,c42f1451900ef3c7ee7fb15f2a54d29c
Тристаен апартамент(В процес на строителство),,165440.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125017-tristaen-apartament-novo-stroitelstvo-v-kv-karshiyaka-v-plovdiv/,3,2026-01-24 06:06:12.073948,,suprimmo,261,PLV-125017,,1499.23,110.35,3,9d74680a9e77e3417456b7d7505f2ce0
Четиристаен апартамент,,340000.0,EUR,False,продава,четиристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-127844-nov-prostoren-apartament-v-savremennen-kompleks-s-akt-16-do-park/,3,2026-01-24 06:06:12.074853,,suprimmo,261,PLV-127844,,1650.65,205.98,4,35d9a61e18c0cf07571e699c46517e53
Двустаен апартамент(В процес на строителство),,107090.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-117005-dvustaen-apartament-v-nov-kompleks-v-kv-karshiyaka-v-plovdiv/,3,2026-01-24 06:06:12.075800,,suprimmo,261,PLV-117005,,1500.07,71.39,5,05bbb8d0360dc6519f7fa2f8db64a491
Тристаен апартамент(В процес на строителство),,165000.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-117006-tristaen-apartament-v-nov-kompleks-v-kv-karshiyaka-v-plovdiv/,3,2026-01-24 06:06:12.076764,,suprimmo,261,PLV-117006,,1496.06,110.29,4,dac4ff95760635b142fb3d9b025b4c4e
Тристаен апартамент(В процес на строителство),,105700.0,EUR,False,продава,тристаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-136838-tristaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,3,2026-01-24 06:06:14.858747,,suprimmo,261,PLV-136838,,1243.53,85,3,96567ea9b29619f8908ccfabdbfa950d
Двустаен апартамент,,157000.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-136812-moderen-nov-dvustaen-apartament-v-zatvoren-kompleks-do-mall-plovdiv/,3,2026-01-24 06:06:14.859645,,suprimmo,261,PLV-136812,,2150.68,73,7,84c67da55b94749946c77885e1586e6b
Двустаен апартамент(В процес на строителство),,95511.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-133141-dvustaen-apartament-v-nov-kompleks-ot-tri-sgradi-do-grebnata-baza-v-plovdiv/,3,2026-01-24 06:06:14.860537,,suprimmo,261,PLV-133141,,1400.04,68.22,7,2b90f610399d5aba6852002528a159e1
Тристаен апартамент(В процес на строителство),,151331.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-133142-tristaen-apartament-v-nov-kompleks-ot-tri-sgradi-do-grebnata-baza-v-plovdiv/,3,2026-01-24 06:06:14.861411,,suprimmo,261,PLV-133142,,1349.96,112.10,3,6af365f5142725fbbbf37b4f60ff6d0d
