raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Тристаен апартамент,,1000.0,EUR,False,продава,тристаен,Пловдив,Мараша,,Suprimmo,,https://www.suprimmo.bg/imot-137509-eleganten-tristaen-apartament-v-podnojieto-na-park-bunardjik/,3,2026-02-03 06:18:43.099389,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137509,,9.8,102,4,fcad560efddaf1529a9ee20dd481b601
Тристаен апартамент,,1900.0,EUR,False,продава,тристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137388-nov-stilen-tristaen-apartament-v-tsentara-na-plovdiv/,3,2026-02-03 06:18:43.100282,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137388,,15.08,126,6,960ba1003fdaed094e08a1737ee3f391
Двустаен апартамент,,550.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137409-komforten-dvustaen-apartament-do-mladejki-halm-v-plovdiv/,3,2026-02-03 06:18:43.101163,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137409,,7.97,69,2,4c070d8d5c547b11d98ca0f86ae4ea8c
Тристаен апартамент,,1200.0,EUR,False,наем,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137362-eleganten-tristaen-apartament-pod-naem-v-prestijniya-kompleks-royal-garden/,3,2026-02-03 06:18:43.102143,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137362,,11.43,105,5,1b055eac49cd79383326d75e95e51936
Двустаен апартамент,,650.0,EUR,False,продава,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137300-uyuten-i-stilen-dvustaen-apartament-v-tsentralnata-chast-na-plovdiv/,3,2026-02-03 06:18:43.103031,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137300,,10.0,65,3,6f7b315a175f33641c8e8e0b82eb5d93
Тристаен апартамент,,850.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137101-stilen-tristaen-apartament-s-dvoen-garaj-v-nova-sgrada-v-plovdiv/,3,2026-02-03 06:18:43.103933,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137101,,7.39,115,4,5956cefd7ffa284d8972203d6bcbf42f
Двустаен апартамент,,650.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-127692-moderen-dvustaen-apartament-s-parkomyasto-v-nova-sgrada-v-kv-hristo-smirnenski/,3,2026-02-03 06:18:43.104925,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-127692,,8.67,75,3,9c65903741258fa60cc8a7b2b325a035
Тристаен апартамент,,770.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-136831-moderen-tristaen-apartament-do-novotel-plovdiv/,3,2026-02-03 06:18:43.105926,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-136831,,6.42,120,4,458d626da4730e8e30d3f827a32f5480
Двустаен апартамент,,700.0,EUR,False,продава,двустаен,Пловдив,Отдих и Култура,,Suprimmo,,https://www.suprimmo.bg/imot-136801-dvustaen-apartament-v-prestijen-jilishten-kompleks-royal-garden-2/,3,2026-02-03 06:18:43.106861,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-136801,,9.72,72,2,1641632f3f8e091e19227e745b51c217
Двустаен апартамент,,650.0,EUR,False,наем,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-136724-luksozen-dvustaen-apartament-pod-naem-v-sartseto-na-gr-plovdiv/,3,2026-02-03 06:18:43.107798,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-136724,,9.7,67,2,2b580d4782b9de88e6d539c21ecbaa3e
Тристаен апартамент,,570.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125270-otlichen-tristaen-apartament-v-nova-sgrada-do-tsentara-na-grad-plovdiv/,3,2026-02-03 06:18:43.108799,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-125270,,4.49,127,3,1be02d088fe70a44876e41c3446e7ca6
Двустаен апартамент,,780.0,EUR,False,продава,двустаен,Пловдив,Каменица 1,,Suprimmo,,https://www.suprimmo.bg/imot-118814-nov-dizaynerski-apartament-v-moderen-kompleks-v-tsentara-na-plovdiv/,3,2026-02-03 06:18:43.109823,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-118814,,9.32,83.68,5,a1c60e8af69fdd27c95bad90d5e33132
Двустаен апартамент,,600.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-135644-stilen-dvustaen-apartament-v-nova-elegantna-sgrada-na-peshtersko-shose/,3,2026-02-03 06:18:43.110840,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-135644,,7.84,76.55,2,635e73d6600a726184aff423b944c3d7
Тристаен апартамент,,1000.0,EUR,False,продава,тристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-135623-tristaen-apartament-s-avtentichen-duh-v-sartseto-na-plovdiv/,3,2026-02-03 06:18:43.111805,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-135623,,8.33,120,3,f969c01c14e1fe246fc0e1e46c1957c5
Двустаен апартамент,,550.0,EUR,False,продава,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-116866-dvustaen-apartament-v-nova-sgrada-v-tsentara-na-plovdiv/,3,2026-02-03 06:18:43.112691,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-116866,,7.86,70,5,96f19c7205e0d4bef24f463caabd9bbb
Двустаен апартамент,,735.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-122656-artistichen-dvustaen-apartament-v-zatvoren-kompleks-v-kv-hristo-smirnenski-na-grad-plovdiv/,3,2026-02-03 06:18:43.113625,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-122656,,10.5,70,4,4abb415f19ff95c9787bb7f0f827c97e
Тристаен апартамент,,750.0,EUR,False,продава,тристаен,Пловдив,Сточна Гара,,Suprimmo,,https://www.suprimmo.bg/imot-135024-stilen-tristaen-apartament-v-nova-sgrada-blizo-do-tsentara-na-plovdiv/,3,2026-02-03 06:18:43.114691,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-135024,,7.65,98,2,0999be229de8b5b2b547db772969ab49
Двустаен апартамент,,500.0,EUR,False,наем,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-110638-artistichen-dvustaen-apartament-pod-naem-v-nova-sgrada-v-tsentara-na-plovdiv/,3,2026-02-03 06:18:43.115621,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-110638,,6.94,72,2,1ce08147435b5e9f73c967af4879e057
Четиристаен апартамент,,550.0,EUR,False,наем,четиристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-131939-prostoren-chetiristaen-apartament-pod-naem-do-novotela/,3,2026-02-03 06:18:43.116608,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-131939,,4.58,120,1,55e8314f017a9eae068453134cbb8067
Двустаен апартамент,,900.0,EUR,False,продава,двустаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-124685-nov-stilen-dvustaen-apartament-s-garaj-v-tsentara-na-plovdiv/,3,2026-02-03 06:18:43.117595,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-124685,,11.69,77,5,d656128eb4846b9b4edb30af04b5c97d
Тристаен апартамент,,1300.0,EUR,False,продава,тристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-124686-nov-moderen-tristaen-apartament-s-garaj-do-stariyat-grad/,3,2026-02-03 06:18:43.118587,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-124686,,10.74,121,5,a649accfd15c718affbda4157b96f9ba
Двустаен апартамент,,400.0,EUR,False,продава,двустаен,Пловдив,Кючук Париж,,Suprimmo,,https://www.suprimmo.bg/imot-108545-nov-stilen-dvustaen-apartament-v-moderna-sgrada/,3,2026-02-03 06:18:43.119540,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-108545,,6.17,64.87,5,83764d872b8e210af84606d28b3de5d1
Двустаен апартамент,,550.0,EUR,False,продава,двустаен,Пловдив,Младежки хълм,,Suprimmo,,https://www.suprimmo.bg/imot-107559-stilno-obzaveden-apartament-v-nova-sgrada-v-plovdiv/,3,2026-02-03 06:18:43.120456,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-107559,,9.17,60,3,c209e5d87c5473c1c9bafdf376d61956
Двустаен апартамент,,260.0,EUR,False,продава,двустаен,Пловдив,Кючук Париж,,Suprimmo,,https://www.suprimmo.bg/imot-137267-dvustaen-apartament-v-kv-kyuchuk-parij-v-plovdiv/,3,2026-02-03 06:18:43.121395,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-137262,,3.71,70,9,29cb30e71d65bf6d958e2476e808cb4f
Двустаен апартамент,,850.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-127271-dvustaen-apartament-v-prestijen-zatvoren-kompleks-v-kv-hristo-smirnenski/,3,2026-02-03 06:18:46.238282,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,suprimmo,25,PLV-127271,,12.14,70,2,702f7b040f5c6fc20e830e61747f3265
