raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor,fingerprint_hash
Двустаен апартамент,,900.0,EUR,False,наем,двустаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-82813-dvustaen-apartament-pod-naem-v-zatvoren-komleks/,3,2026-02-01 18:06:59.654119,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF102628,,11.25,80,3,5d3e7faba0767d73efaa3a036205b7f8
Тристаен апартамент,,1600.0,EUR,False,продава,тристаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-131731-iziskan-i-moderen-tristaen-apartament-v-luksozna-sgrada-pulse-tower/,3,2026-02-01 18:06:59.654988,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-131731,,13.11,122,4,926b3ced8f948f826007a6bd5116b86b
Тристаен апартамент,,10000.0,EUR,False,продава,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-104721-panoramen-tristaen-apartament-v-prestijnata-sgrada-milenium-tsentar/,3,2026-02-01 18:06:59.655829,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-104721,,38.46,260,21,653c3bbcf0e8e459ee7845f9968739e6
Двустаен апартамент,,450.0,EUR,False,продава,двустаен,София,Хиподрума,,Suprimmo,,https://www.suprimmo.bg/imot-36493-napalno-obzaveden-dvustaen-apartament-v-kv-hipodruma/,3,2026-02-01 18:06:59.656627,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,Kbs 36493,,8.29,54.31,3,29d399a73cfec1a5d04c94fbe6cbed29
Четиристаен апартамент,,1800.0,EUR,False,продава,четиристаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-63398-svetal-apartament-s-podzemno-parkomyasto-v-polite-na-vitosha/,3,2026-02-01 18:06:59.657467,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-63398,,11.25,160,4,20e251d6df9f70f839d96204127ca7d3
Тристаен апартамент,,1650.0,EUR,False,продава,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-133548-tristaen-apartament-s-parkomyasto-do-metrostantsiya-sv-patriarh-evtimiy/,3,2026-02-01 18:06:59.658288,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-133548,,10.58,156,5,3fd9fb971bcc7c5c5ba776167d9912fc
Двустаен апартамент,,2000.0,EUR,False,наем,двустаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-95307-dizaynerski-apartament-pod-naem-na-2-niva-s-garaj-v-zatvoren-kompleks-do-bulbalgariya/,3,2026-02-01 18:06:59.659104,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF 95307,,10.98,182.13,1,1fe66b2330742d13baa4e7c2fa66cbe5
Тристаен апартамент,,1400.0,EUR,False,наем,тристаен,София,Манастирски ливади,,Suprimmo,,https://www.suprimmo.bg/imot-125367-stilen-tristaen-apartament-pod-naem-v-predpochitan-kompleks-v-kv-manastirski-livadi/,3,2026-02-01 18:06:59.659940,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,Kbs 125367,,12.27,114.13,3,ce1d191879f2c1b96b030a51a9606ab6
Четиристаен апартамент,,1500.0,EUR,False,продава,четиристаен,София,Изток,,Suprimmo,,https://www.suprimmo.bg/imot-130536-chetiristaen-apartament-etaj-ot-kashta-v-kviztok-s-hubava-terasa-i-garaj/,3,2026-02-01 18:06:59.660755,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF 130536,,11.54,130,1,136731e42a1aef462e8e762cd9f8520d
Тристаен апартамент,,1900.0,EUR,False,наем,тристаен,София,Дианабад,,Suprimmo,,https://www.suprimmo.bg/imot-113455-vazhititelen-dizaynerski-apartament-s-otlichna-lokatsiya-pod-naem-v-kv-dianabad/,3,2026-02-01 18:06:59.661660,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,Kbs 113455,,15.57,122,11,3e2b52ea55cf568c523e45c184f4d64f
Тристаен апартамент,,1430.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-122146-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,3,2026-02-01 18:06:59.662477,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-122146,,17.88,80,5,869cef5fd90b5365f21cb79e2020c60e
Двустаен апартамент,,770.0,EUR,False,наем,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-75140-stilen-dvustaen-apartament-pod-naem-na-top-lokatsiya-v-kv-lozenets/,3,2026-02-01 18:06:59.663368,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,Kbs 75140,,11.49,67,2,70b01406ab3fb122f641cfca5de93219
Двустаен апартамент,,750.0,EUR,False,продава,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-118991-stilen-dvustaen-apartament-s-podzemno-parkomyasto-v-lozenets/,3,2026-02-01 18:06:59.664204,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,Sof 118991,,10.56,71,2,0861f1ffa030f83ad833525edde03667
Тристаен апартамент,,1600.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-118300-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,3,2026-02-01 18:06:59.665014,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-118300,,14.55,110,5,ca74a9453ecd6fe44f1078462d7102a4
Многостаен апартамент,,2500.0,EUR,False,наем,многостаен,София,Стрелбище,,Suprimmo,,https://www.suprimmo.bg/imot-41508-luksozen-dizaynerski-mnogostaen-apartament-pod-naem-do-bul-balgariya/,3,2026-02-01 18:06:59.665791,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,Sfa 1275,,8.31,301,7,12e786ad40d675a35a96ccb1c5fc442f
Тристаен апартамент,,700.0,EUR,False,наем,тристаен,София,Карпузица,,Suprimmo,,https://www.suprimmo.bg/imot-137532-svetal-tristaen-apartament-pod-naem-v-kv-karpuzitsa/,3,2026-02-01 18:06:59.666628,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF 137532,,7.14,98,4,ac1af410058b21121cddf7a97bfeb306
Едностаен апартамент,,500.0,EUR,False,наем,едностаен,София,Зона Б-5,,Suprimmo,,https://www.suprimmo.bg/imot-137549-ednostaen-apartament-pod-naem-do-park-vazrajdane-i-metro-opalchenska/,3,2026-02-01 18:06:59.667454,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,suprimmo,366,SOF-137549,,12.5,40,4,cef2f2cff55c11c5fc8e4d0ab959bb98
